Sort Order,One Coventry Plan 2022-30 Vision,One Coventry Plan 2016-24 Vision,One Coventry Plan 2016-24 Priority,Council Plan 2016-24 Metric,Progress towards 2016-24 Plan,Target Status towards 2016-24 Plan,Council Plan 2022-30 Metric,Progress towards 2022-30 Plan,Target,Target Status towards 2022-30 Plan,Metric,Unit,2015/16 end of year metric value,2015/16 end of year metric scope,2015/16 end of year metric date,2016/17 half year metric value,2016/17 half year metric scope,2016/17 half year metric date,2016/17 end of year metric value,2016/17 end of year metric scope,2016/17 end of year metric date,2017/18 half year metric value,2017/18 half year metric scope,2017/18 half year metric date,2017/18 end of year metric value,2017/18 end of year metric scope,2017/18 end of year metric date,2018-19 end of year metric value,2018-19 end of year metric scope,2018-19 end of year metric date,2019-20 end of year metric value,2019-20 end of year metric scope,2019-20 end of year metric date,2020-21 end of year metric value,2020-21 end of year metric scope,2020-21 end of year metric date,2021-22 end of year metric value,2021-22 end of year metric scope,2021-22 end of year metric date,2022-23 end of year metric value,2022-23 end of year metric scope,2022-23 end of year metric date,2016/17 end of year metric comparator metric value,2016/17 end of year metric comparator metric scope,2016/17 end of year metric comparator metric date,2017/18 half year metric comparator metric value,2017/18 half year metric comparator metric scope,2017/18 half year metric comparator metric date,2017/18 end of year metric comparator metric value,2017/18 end of year comparator metric scope,2017/18 end of year metric comparator metric date,2018-19 end of year comparator metric value,2018-19 end of year comparator metric scope,2018-19 end of year comparator metric date,2019-20 end of year comparator metric value,2019-20 end of year comparator metric scope,2019-20 end of year comparator metric date,2020-21 end of year comparator metric value,2020-21 end of year comparator metric scope,2020-21 end of year comparator metric date,2021-22 end of year comparator metric value,2021-22 end of year comparator metric scope,2021-22 end of year comparator metric date,2022-23 end of year comparator metric value,2022-23 end of year comparator metric scope,2022-23 end of year comparator metric date,2016/17 end of year metric national metric value,2016/17 end of year metric national metric scope,2016/17 end of year metric national metric date,2017/18 half year metric national metric value,2017/18 half year metric national metric scope,2017/18 half year metric national metric date,2017/18 end of year metric national metric value,2017/18 end of year metric national metric scope,2017/18 end of year metric national metric date,2018-19 end of year national metric value,2018-19 end of year national metric scope,2018-19 end of year national metric date,2019-20 end of year national metric value,2019-20 end of year national metric scope,2019-20 end of year national metric date,2020-21 end of year national metric value,2020-21 end of year national metric scope,2020-21 end of year national metric date,2021-22 end of year national metric value,2021-22 end of year national metric scope,2021-22 end of year national metric date,2022-23 end of year national metric value,2022-23 end of year national metric scope,2022-23 end of year national metric date
34,Improving outcomes and tackling inequalities within our communities,Locally committed,Reducing health inequalities,TRUE,,,TRUE,N/A,To increase,No Target Set,Male healthy life expectancy at birth,years,61.3,Coventry,2012-14 revised,,,,62.9,Coventry,2013-15,,,,62.2,Coventry,2014-16,62.9,Coventry ,2015-17,61.9,Coventry ,2016-18,61.9,Coventry ,2017-19,61.1,Coventry ,2018-20,,,,62.4,West Midlands Region,2013-15,,,,62.6,West Midlands Region,2014-16,62.1,West Midlands Region,2015-17,61.8,West Midlands Region,2016-18,61.5,West Midlands Region,2017-19,61.9,West Midlands Region,2018-20,,,,63.4,England,2013-15,,,,63.3,England,2014-16,63.4,England,2015-17,63.4,England,2016-18,63.2,England,2017-19,63.1,England,2018-20,,,
35,Improving outcomes and tackling inequalities within our communities,Locally committed,Reducing health inequalities,TRUE,,,TRUE,N/A,To increase,No Target Set,Female healthy life expectancy at birth,years,63.4,Coventry,2012-14 revised,,,,63.8,Coventry,2013-15,,,,62.9,Coventry,2014-16,63.5,Coventry ,2015-17,62.5,Coventry ,2016-18,64.2,Coventry ,2017-19,64,Coventry ,2018-20,,,,63.2,West Midlands Region,2013-15,,,,63.2,West Midlands Region,2014-16,62.9,West Midlands Region,2015-17,62.3,West Midlands Region,2016-18,62.6,West Midlands Region,2017-19,62.6,West Midlands Region,2018-20,,,,64.1,England,2013-15,,,,63.9,England,2014-16,63.8,England,2015-17,63.9,England,2016-18,63.5,England,2017-19,63.9,England,2018-20,,,
36,Improving outcomes and tackling inequalities within our communities,Locally committed,"Create an attractive, cleaner & greener city",TRUE,,,TRUE,BETTER,To reduce by 5%,On Target,Fly-tips reported in the city,number,2316,Coventry,2015/16,1505,Coventry,Apr-Sep 2016/17,3342,Coventry, 2016/17,2030,Coventry,Apr-Sep 2017/18,4704,Coventry,2017/18,6922,Coventry ,2018/19,6955,Coventry ,2019/20,10727,Coventry ,2020/21,8473,Coventry ,2021/22,6840,Coventry,2022/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Tackling the causes and consequences of climate change,Delivering our priorities with fewer resources,Making the most of our assets,TRUE,,,TRUE,BETTER,To decrease,No Target Set,Carbon dioxide emissions from local authority operations,tonnes,16368,Coventry,2015/16 actual,,,,,,,14369,Coventry,2016/17 Revised Final,14833,Coventry,2017/18 Final,10712,Coventry ,2018/19 final,9902,Coventry ,2019/20 estimate,9318,Coventry ,2020/21 revised,9009,Coventry ,2021/22 revised estimated,8273,Coventry,2022/23 estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Tackling the causes and consequences of climate change,,,FALSE,,,TRUE,N/A,To increase,No Target Set,Increased use of renewable energy and heat decarbonisation,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Tackling the causes and consequences of climate change,,,FALSE,,,TRUE,EQUALS,Within legal limit of 40 micrograms per cubic metre,No Target Set,Averaged annual nitrogen dioxide levels across the city,%,,,,,,,,,,,,,,,,,,,,,,,,,3,Coventry ,2021,3,Coventry,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Tackling the causes and consequences of climate change,,,FALSE,,,TRUE,EQUALS,A,Off-Target,CDP carbon disclosure rating,rating,,,,,,,,,,,,,,,,,,,,,,,,,B,Coventry ,2021/22,B,Coventry,2022/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Tackling the causes and consequences of climate change,,,FALSE,,,TRUE,N/A,To decrease,No Target Set,Proportion of trips into/out of central Coventry made by car,%,,,,,,,,,,,,,,,,,,,,,,69,Coventry ,2019,71,Coventry ,2021,,,,,,,,,,,,,,,,,,,,,,62,TfWM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Tackling the causes and consequences of climate change,,,FALSE,,,TRUE,BETTER,To decrease,No Target Set,Road casualties by road user type - car occupant,%,,,,,,,,,,,,,,,,,,,,,,61,Coventry ,2020,58,Coventry ,2021,56,Coventry,2022,,,,,,,,,,,,,,,,,,,65,West Midlands Combined Authority,2020,65,West Midlands Combined Authority ,2021,,,,,,,,,,,,,,,,,,,55,England,2020,55,England,2021
43,Tackling the causes and consequences of climate change,,,FALSE,,,TRUE,WORSE,To decrease,No Target Set,Road casualties by road user type - pedestrian,%,,,,,,,,,,,,,,,,,,,,,,17,Coventry ,2020,18,Coventry ,2021,22,Coventry,2022,,,,,,,,,,,,,,,,,,,17,West Midlands Combined Authority,2020,16,West Midlands Combined Authority ,2021,,,,,,,,,,,,,,,,,,,13,England,2020,13,England,2021
44,Tackling the causes and consequences of climate change,,,FALSE,,,TRUE,BETTER,To decrease,No Target Set,Road casualties by road user type - cyclist,%,,,,,,,,,,,,,,,,,,,,,,8,Coventry ,2020,12,Coventry ,2021,10,Coventry,2022,,,,,,,,,,,,,,,,,,,8,West Midlands Combined Authority,2020,9,West Midlands Combined Authority ,2021,,,,,,,,,,,,,,,,,,,14,England,2020,13,England,2021
45,Tackling the causes and consequences of climate change,,,FALSE,,,TRUE,EQUALS,To decrease,No Target Set,Road casualties by road user type - powered two-wheeler (includes pillion passengers),%,,,,,,,,,,,,,,,,,,,,,,6,Coventry ,2020,5,Coventry ,2021,5,Coventry,2022,,,,,,,,,,,,,,,,,,,5,West Midlands Combined Authority,2020,5,West Midlands Combined Authority ,2021,,,,,,,,,,,,,,,,,,,14,England,2020,5,England,2021
46,Tackling the causes and consequences of climate change,,,FALSE,,,TRUE,BETTER,To increase,No Target Set,Electric vehicle charging points in the city,number,,,,,,,,,,,,,,,,,,,,,,438,Coventry ,2020/21,403,Coventry ,2021,715,Coventry,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Tackling the causes and consequences of climate change,Locally committed,"Create an attractive, cleaner & greener city",TRUE,,,TRUE,BETTER,95%,On-Target,Principal roads (A roads) in a good/acceptable condition,%,99,Coventry,2015/16,,,,99,Coventry,2016/17,,,,99,Coventry,2017/18,99,Coventry ,2018/19,98,Coventry ,2019/20,99,Coventry ,2020/21,98,Coventry ,2021/22,99,Coventry,2022/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Tackling the causes and consequences of climate change,Locally committed,"Create an attractive, cleaner & greener city",TRUE,,,TRUE,BETTER,95%,On-Target,Non-principal roads (B and C roads) in a good/acceptable condition,%,98,Coventry,2015/16,,,,98,Coventry,2016/17,,,,98,Coventry,2017/18,98,Coventry ,2018/19,96,Coventry ,2019/20,98,Coventry ,2020/21,98,Coventry ,2021/22,98,Coventry,2022/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Tackling the causes and consequences of climate change,Locally committed,"Create an attractive, cleaner & greener city",TRUE,,,TRUE,BETTER,80%,On-Target,Unclassified roads in a good/acceptable condition,%,80,Coventry,2015/16,,,,80,Coventry,2016/17,,,,80,Coventry,2017/18,82,Coventry ,2018/19,81,Coventry ,2019/20,81,Coventry ,2020/21,81,Coventry ,2021/22,88,Coventry,2022/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Tackling the causes and consequences of climate change,Locally committed,"Create an attractive, cleaner & greener city",TRUE,,,TRUE,BETTER,70%,On-Target,Footways and pavements in a good/acceptable condition,%,36,Coventry,2015/16,,,,36,Coventry,,,,,36,Coventry,2017/18,38,Coventry ,2018/19,38,Coventry ,2019/20,50,Coventry ,2020/21,46,Coventry ,2021/22,75,Coventry,2022/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Tackling the causes and consequences of climate change,,,FALSE,,,TRUE,BETTER,To increase,No Target Set,Council vehicles that are zero carbon emission,number,,,,,,,,,,,,,,,,,,,,,,4,Coventry ,31/03/2021,72,Coventry ,31/03/2022,73,Coventry,31/03/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Tackling the causes and consequences of climate change,Locally committed,"Create an attractive, cleaner & greener city",TRUE,,,TRUE,BETTER,To increase,No Target Set,Household waste recycled and composted,%,30.3,Coventry,2015/16,34.2,Coventry,Jul-Sep 2016/17,29.9,Coventry, 2016/17,35.5,Coventry,Apr-Sep 2017/18,32.9,Coventry,2017/18,34.1,Coventry ,2018/19 revised,33.4,Coventry ,2019/20 ,34,Coventry ,2020/21 ,28.6,Coventry ,2021/22,30.5,Coventry,2022/23 provisional,36.9,West Midlands Combined Authority,2016/17,,,,,,,36.1,West Midlands Combined Authority,2017/18,34.7,West Midlands Combined Authority,2018/19,34.8,West Midlands Combined Authority,2019/20,32.7,West Midlands Combined Authority,2020/21,31.6,West Midland Combine Authority,2021/22,43.7,England,2016/17,,,,,,,43.2,England,2017/18,43.5,England,2018/19,43.8,England,2019/20,42.3,England,2020/21,42.5,England,2021/22
53,Tackling the causes and consequences of climate change,,,FALSE,,,TRUE,N/A,To increase,No Target Set,Biodiversity net gain (measure of tree planting and biodiversity),number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Tackling the causes and consequences of climate change,,,FALSE,,,TRUE,N/A,To increase,No Target Set,Advice on carbon reduction and green measures to businesses,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,Coventry,2022/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Tackling the causes and consequences of climate change,,,FALSE,,,TRUE,N/A,To increase,No Target Set,Number of planning policies in line with the Global Goals for climate action,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Tackling the causes and consequences of climate change,,,FALSE,,,TRUE,N/A,To increase,No Target Set,New funding for environmental technologies and management,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Continued financial sustainability of the Council,,,FALSE,,,TRUE,BETTER,To increase,No Target Set,Business rates total rateable value,millions of pounds,300.0m,Coventry,2015/16,300,Coventry,Apr-Sep 2016/17,310,Coventry, 2016/17 revised,309.2,Coventry,Apr-Sep 2017/18,313,Coventry,2017/18,319,Coventry ,2018/19,319,Coventry ,2019/20 ,317,Coventry ,2020/21,315,Coventry ,2021/22,316,Coventry,2022/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Continued financial sustainability of the Council,Globally connected,"Supply, choice and quality of housing",TRUE,,,TRUE,BETTER,95%+,Off-Target,Council tax collection rate,%,95.8,Coventry,2015/16,95.9,Coventry,Apr-Sep 2016/17,95.8,Coventry,2016/17,96,Coventry,Apr-Sep 2017/18,95.9,Coventry,2017/18,95.7,Coventry ,2018/19,95.5,Coventry ,2019/20,94.4,Coventry ,2020/21,94,Coventry ,2021/22,94.3,Coventry,2022/23,95.4,All Metropolitan Authorities,2016/17,,,,,,,96,West Midlands Combined Authority,2018/19,95.8,West Midlands Combined Authority,2019/20,94.7,West Midlands Combined Authority,2020/21,94.5,West Midlands Combined Authority,2021/22,,,,97.4,England,2016/17,,,,,,,97,England,2018/19,96.8,England,2019/20,95.7,England,2020/21,95.8,England,2021/22,,,
59,Continued financial sustainability of the Council,Delivering our priorities with fewer resources,Making the most of our assets,TRUE,,,TRUE,CANT SAY,None set,Target not applicable,"Core employee headcount (full-time equivalents, fte)",full-time equivalents,4242.05,Coventry,01/03/2016,4163.65,Coventry,01/09/2016,4108.31,Coventry,01/03/2017,3814.93,Coventry,01/09/2017,3693.71,Coventry,01/03/2018,3829.94,Coventry ,01/03/2019,3952.49,Coventry ,01/03/2020,4075.73,Coventry ,01/03/2021,4209.53,Coventry ,31/03/2022,4134.84,Coventry,31/03/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Continued financial sustainability of the Council,Delivering our priorities with fewer resources,Making the most of our assets,TRUE,,,TRUE,BETTER,To reduce,No Target Set,Council staff sickness absence (rolling twelve-month period),days per full-time equivalent,10.56,Coventry,2015/16,,,,10.22,Coventry,2016/17,,,,11.75,Coventry,2017/18,10.94,Coventry ,2018/19,12.71,Coventry ,2019/20,10.47,Coventry ,2020/21,12.97,Coventry ,2021/22,12.62,Coventry,2022/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Continued financial sustainability of the Council,,,FALSE,,,TRUE,BETTER,To reduce,No Target Set,Spend on agency staff,pounds,,,,,,,,,,,,,,,,,,,,,,6921314,Coventry ,20220/21,8914227,Coventry ,2021/22,8669483,Coventry,2022/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Continued financial sustainability of the Council,,,FALSE,,,TRUE,BETTER,To increase,No Target Set,Participation in the staff survey,%,,,,,,,,,,,,,,,,,,,,,,33,Coventry ,01/01/2021,27,Coventry ,01/09/2021,32,Coventry,Jul-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Continued financial sustainability of the Council,,,FALSE,,,TRUE,N/A,To increase,No Target Set,"Workforce representative of the age, gender and ethnic profile of the city",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Continued financial sustainability of the Council,Delivering our priorities with fewer resources,Making the most of our assets,TRUE,,,TRUE,BETTER,To increase,No Target Set,Number of transactions completed through self-service channels,number,,,,,,,,,,,,,,,,,,,121391,Coventry ,2019/20,352751,Coventry ,2020/21,415254,Coventry ,2021/22,432473,Coventry,2022/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Continued financial sustainability of the Council,,,FALSE,,,TRUE,N/A,To increase,No Target Set,Households with access to full fibre and/or gigabit internet,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Continued financial sustainability of the Council,,,FALSE,,,TRUE,N/A,To decrease,No Target Set,Households at risk of digital exclusion (Measure of digital inclusion/exclusion),score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Continued financial sustainability of the Council,,,FALSE,,,TRUE,EQUALS,Sustainable,Off-Target,Sustainable medium-term financial position,rating,,,,,,,,,,,,,,,,,,,,,,,,,Balanced budget 2022/23 - future years show a deficit,Coventry ,Feb-22,Balanced budget 2023/24 -future years show a deficit,Coventry,Feb-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Continued financial sustainability of the Council,,,FALSE,,,TRUE,WORSE,To increase,No Target Set,Savings targets met,%,,,,,,,,,,,,,,,,,,,,,,,,,100,Coventry ,2021/22,85,Coventry,2022/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Continued financial sustainability of the Council,,,FALSE,,,TRUE,WORSE,To improve,No Target Set,Balanced budget position (in-year),rating,,,,,,,,,,,,,,,,,,,,,,,,,Balanced ,Coventry ,2021/22,6.7m Overspent,Coventry,2022/23 provisional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Increasing the economic prosperity of the city and region,,,FALSE,,,TRUE,BETTER,To increase,No Target Set,Investment income secured,millions of pounds,,,,,,,,,,,,,,,,,,,,,,1.1,Coventry ,2020/21,2.2,Coventry ,2021/22,2.9,Coventry,2022/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Improving outcomes and tackling inequalities within our communities,,,FALSE,,,FALSE,,,,Percentage of roads and pavements accessible to all (compliant with the Equality Act),%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Continued financial sustainability of the Council,,,FALSE,,,FALSE,,,,Effectiveness of problem resolution at first contact,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,Globally connected,Supporting businesses to grow,TRUE,,,FALSE,,To increase,,Business rates tax base (change from 2002 base),index,132.74,Coventry,2013/14,,,,132.3,Coventry,2014/15,132.74,Coventry,2015/16,132.74,Coventry,2016/17 revised,137.17,Coventry ,2017/18,138.7,Coventry ,2018/19,138.7,Coventry ,2019/20,137.83,Coventry ,2020/21,,,,130.79,CIPFA Near Neighbours,2014/15,131.54,CIPFA Near Neighbours,2015/16,140.06,CIPFA Near Neighbours,2016/17,125.06,West Midlands Combined Authority,2017/18,125.2,West Midlands Combined Authority,2018/19,125.89,West Midlands Combined Authority,2019/20,124.98,West Midlands Region,2020/21,,,,142.89,England,2014/15,144,England,2015/16,157.85,England,2016/17,157.85,England,2017/18,159.64,England,2018/19,160.19,England,2019/20,159.61,England,2020/21,,,
74,,Globally connected,Helping local people into jobs,TRUE,,,FALSE,,To increase,,Residents qualified to level 4 or above (working age population),%,30,Coventry,"Jan-Dec
2015",,,,34,Coventry,Jan-Dec 2016,,,,35,Coventry,Jan-Dec 2017 ,35,Coventry ,Jan-Dec 2018,36,Coventry ,Jan-Dec 2019,38,Coventry ,Jan-Dec 2020,40,Coventry ,Jan-Dec 2021,,,,32,West Midlands Region,Jan-Dec 2016,,,,32,West Midlands Region,Jan-Dec 2017 ,33,West Midlands Region,Jan-Dec 2018,34,West Midlands Region,Jan-Dec 2019,37,West Midlands Region,Jan-Dec 2020,39,West Midlands Region,Jan-Dec 2021,,,,38,England,Jan-Dec 2016,,,,38,England,Jan-Dec 2017,39,England,Jan-Dec 2018,40,England,Jan-Dec 2019,43,England,Jan-Dec 2020,43,England,Jan-Dec 2021,,,
75,,Globally connected,Reducing the impact of poverty,TRUE,,,FALSE,,To increase,,Median annual pay (all employee types) of residents,pounds,26913,Coventry,2015 revised,,,,27969,Coventry,2016 revised,,,,28412,Coventry,2017 revised,28746,Coventry ,2018,28747,Coventry ,2019 revised,29589,Coventry ,2020 revised,30763,Coventry ,2021 provisional,,,,26270,West Midlands Region,2016 revised,,,,26843,West Midlands Region,2017 revised,27600,West Midlands Region,2018 revised,28278,West Midlands Region,2019 revised,29481,West Midlands Region,2020 provisional,29799,West Midlands Region,2021 provisional,,,,28500,England,2016 revised,,,,29085,England,2017 revised,29849,England,2018 revised,30692,England,2019 revised,31766,England,2020 provisional,31490,England,2021 provisional,,,
76,,Globally connected,Reducing the impact of poverty,TRUE,,,FALSE,,To increase,,Median annual pay (full-time employees) of residents,pounds,21905,Coventry,2015 revised,,,,22116,Coventry,2016 revised,,,,23021,Coventry,2017 revised,24296,Coventry ,2018 revised,24020,Coventry ,2019 revised,24645,Coventry ,2020 revised,25795,Coventry ,2021 provisional,,,,21789,West Midlands Combined Authority,2016 revised,,,,22265,West Midlands Region,2017 revised,22731,West Midlands Region,2018 revised,23632,West Midlands Region,2019 revised,24634,West Midlands Region,2020 provisional,25000,West Midlands Region,2021 provisional,,,,23337,England,2016 revised,,,,23754,England,2017 revised,24283,England,2018 revised,25150,England,2019 revised,26055,England,2020 provisional,26192,England,2021 provisional,,,
77,,Globally connected,Reducing the impact of poverty,TRUE,,,FALSE,,To increase,,Gross disposable household income per head,pounds,13924,Coventry,2014 revised,,,,14226,Coventry,2015 revised,,,,14351,Coventry,2016 revised,14987,Coventry ,2017 revised,15353,Coventry ,2018 provisional,15225,Coventry ,2018,15350,Coventry ,2019 provisional,,,,16619,West Midlands Region,2015 revised,,,,16766,West Midlands Region,2016 provisional,17409,West Midlands Region,2017 revised,18222,West Midlands Region,2018 provisional,17949,West Midlands Region,2018,18350,West Midlands Region,2019 provisional,,,,19759,England,2015revised,,,,19878,England,2016 provisional,20658,England,2017 revised,21609,England,2018 provisional,21433,England,2018,21978,England,2019 provisional,,,
78,,Globally connected,"Supply, choice and quality of housing",TRUE,,,FALSE,,To increase,,Total amount of Council Tax number of properties,number,139179,Coventry,31/03/2016,140171,Coventry,01/09/2016,140507,Coventry,31/03/2017,140944,Coventry,01/09/2017,142016,Coventry,31/03/2018,143552,Coventry ,31/03/2019,146882,Coventry ,31/03/2020,148002,Coventry ,31/03/2021,148825,Coventry ,31/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Total amount of Council Tax in an area,millions of pounds,120.21,Coventry,31/03/2016,132.14,Coventry,01/09/2016,130.48,Coventry,31/03/2017,140.71,Coventry,01/09/2017,132,Coventry,31/03/2018 revised,149,Coventry ,31/03/2019 provisional,157.7,Coventry ,31/03/2020,162.4,Coventry ,31/03/2021,176.8,Coventry ,31/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,Globally connected,"Supply, choice and quality of housing",TRUE,,,FALSE,,To increase,,Properties in higher Council Tax bands (C to H) (%),%,29.2,Coventry,31/03/2016,29.36,Coventry,01/09/2016,29.44,Coventry,31/03/2017,29.51,Coventry,01/09/2017,29.48,Coventry,31/03/2018,29.44,Coventry ,31/03/2019,29.54,Coventry ,31/03/2020,29.58,Coventry ,31/03/2021,29.58,Coventry ,31/03/2022,,,,35.23,West Midlands Combined Authority,31/03/2016,,,,,,,,,,,,,,,,,,,,,,55.74,England,31/03/2015,,,,,,,,,,,,,56.2,England,31/03/2020,,,,,,
,,,,FALSE,,,FALSE,,,,Properties in higher Council Tax bands (C to H) (number),number,40639,Coventry,31/03/2016,41158,Coventry,01/09/2016,41370,Coventry,01/03/2017,41589,Coventry,01/09/2017,41864,Coventry,31/03/2018,42259,Coventry ,31/03/2019,43391,Coventry ,31/03/2020,43772,Coventry ,31/03/2021,44019,Coventry ,31/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,Locally committed,Make communities safer,TRUE,,,FALSE,,None set,,Drug offences and drug markers recorded,number,,,,,,,,,,,,,425/736,Coventry,2017/18,479/890,Coventry ,2018/19,548/1082,Coventry ,2019/20 revised,774/1507,Coventry ,2020/21,1142/2721,Coventry ,2021/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,Locally committed,Make communities safer,TRUE,,,FALSE,,None set,,Domestic abuse (crime and non-crime) offences known to the police ,number,5972,Coventry,2015/16,3178,Coventry,Apr-Sep 2016/17,5771,Coventry,2016/17,2990,Coventry,Apr-Sep 2017/18,5812,Coventry,2017/18,6719,Coventry ,2018/19,7463,Coventry ,2019/20 revised,10203,Coventry ,2020/21,10957,Coventry ,2021/22,,,,,,,,,,,,,,,,,,,,,,10532,Wolverhampton,2021/22,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,Locally committed,Improving educational outcomes,TRUE,,,FALSE,,Better or equal to national average,,Primary school pupils with permanent exclusions,%,,,,,,,,,,,,,0.11,Coventry,01/03/2018,0.03,Coventry ,01/03/2019,0.01,Coventry ,01/03/2020,,,,0.03,Coventry ,01/03/2022,,,,,,,,,,,,,0.03,Statistical Neighbours,01/03/2018,0.03,Statistical Neighbours,01/03/2019,,,,,,,,,,,,,,,,,,,0.03,England,2016/17,0.03,England,2018/19,,,,,,,,,
83,,Locally committed,Improving educational outcomes,TRUE,,,FALSE,,Better or equal to national average,,Secondary school pupils with permanent exclusions,%,,,,,,,,,,,,,0.3,Coventry,01/03/2018,0.06,Coventry ,01/03/2019,0.04,Coventry ,01/03/2020,,,,0.16,Coventry ,01/03/2022,,,,,,,,,,,,,0.23,Statistical Neighbours,01/03/2018,0.26,Statistical Neighbours,01/03/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,Locally committed,Improving educational outcomes,TRUE,,,FALSE,,Better than statistical neighbours,,Key stage 4: standard pass (grades 9-4) in English and maths,%,,,,,,,61,Coventry,"2016
",,,,58.3,Coventry,2017,60.2,Coventry ,2018,59.4,Coventry ,2019,66.9,Coventry ,2020,68.2,Coventry ,2021,,,,59,Statistical Neighbours,"2016
",,,,57.8,Statistical Neighbours,2017,59.5,Statistical Neighbours,2018,59.9,Statistical Neighbours,2019,66.2,Statistical Neighbours,2020,67,Statistical Neighbours,2021,,,,63,England,"2016
",,,,63.9,England,2017,64.4,England,2018,64.9,England,2019,71.2,England,2020,72.2,England,2021,,,
