Council Plan,Priority,Council Plan Indicator,Progress,Equality Indicator,Marmot Indicator,Indicator,Unit,2015/16 end of year indicator value,2015/16 end of year indicator scope,2015/16 end of year indicator date,2016/17 half year indicator value,2016/17 half year indicator scope,2016/17 half year indicator date,2016/17 half year indicator comparator indicator value,2016/17 half year indicator comparator indicator scope,2016/17 half year indicator comparator indicator date,2016/17 half year indicator national indicator value,2016/17 half year indicator national indicator scope,2016/17 half year indicator national indicator date,Directionality,2016/17 end of year progress,2016/17 end of year target,2016/17 half year target status
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (result) for... White and black African",%,N/A,N/A,N/A,41,Coventry,2016,N/A,N/A,N/A,53,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (result) for... White and black Caribbean",%,N/A,N/A,N/A,42,Coventry,2016,N/A,N/A,N/A,53,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (result) for... White and Asian",%,N/A,N/A,N/A,59,Coventry,2016,N/A,N/A,N/A,53,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (result) for... Any other mixed",%,N/A,N/A,N/A,46,Coventry,2016,N/A,N/A,N/A,53,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (result) for... Roma/Gypsy",%,N/A,N/A,N/A,6,Coventry,2016,N/A,N/A,N/A,53,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (result) for... Irish",%,N/A,N/A,N/A,72,Coventry,2016,N/A,N/A,N/A,53,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (result) for... Traveller of Irish Heritage",%,N/A,N/A,N/A,67,Coventry,2016,N/A,N/A,N/A,53,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (result) for... Transient",%,N/A,N/A,N/A,26,Coventry,2016,N/A,N/A,N/A,53,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (result) for... Pupil Premium",%,N/A,N/A,N/A,37,Coventry,2016,N/A,N/A,N/A,53,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (result) for... Looked After Children",%,N/A,N/A,N/A,33,Coventry,2016,N/A,N/A,N/A,53,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (result) for... Special Educatioal Needs",%,N/A,N/A,N/A,11,Coventry,2016,N/A,N/A,N/A,53,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (result) for... Boys",%,N/A,N/A,N/A,43,Coventry,2016,N/A,N/A,N/A,53,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (result) for... Girls",%,N/A,N/A,N/A,51,Coventry,2016,N/A,N/A,N/A,53,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (difference with national comparator) for... Black African ",% difference between national comparator,N/A,N/A,N/A,-4,Coventry,2016,N/A,N/A,N/A,N/A,N/A,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (difference with national comparator for... Black Caribbean",% difference between national comparator,N/A,N/A,N/A,-23,Coventry,2016,N/A,N/A,N/A,N/A,N/A,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (difference with national comparator) for... Black Other",% difference between national comparator,N/A,N/A,N/A,7,Coventry,2016,N/A,N/A,N/A,N/A,N/A,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (difference with national comparator) for... Asian Indian",% difference between national comparator,N/A,N/A,N/A,5,Coventry,2016,N/A,N/A,N/A,N/A,N/A,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (difference with national comparator) for... Asian Pakistani",% difference between national comparator,N/A,N/A,N/A,-3,Coventry,2016,N/A,N/A,N/A,N/A,N/A,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (difference with national comparator) for... Asian Bangladeshi",% difference between national comparator,N/A,N/A,N/A,4,Coventry,2016,N/A,N/A,N/A,N/A,N/A,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (difference with national comparator) for... Asian Chinese",% difference between national comparator,N/A,N/A,N/A,3,Coventry,2016,N/A,N/A,N/A,N/A,N/A,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (difference with national comparator) for... white",% difference between national comparator,N/A,N/A,N/A,-4,Coventry,2016,N/A,N/A,N/A,N/A,N/A,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (difference with national comparator) for... white and black African",% difference between national comparator,N/A,N/A,N/A,-12,Coventry,2016,N/A,N/A,N/A,N/A,N/A,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (difference with national comparator) for... White and black Caribbean",% difference between national comparator,N/A,N/A,N/A,-11,Coventry,2016,N/A,N/A,N/A,N/A,N/A,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (difference with national comparator) for... White and Asian",% difference between national comparator,N/A,N/A,N/A,6,Coventry,2016,N/A,N/A,N/A,N/A,N/A,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (difference with national comparator) for... Any other mixed",% difference between national comparator,N/A,N/A,N/A,-7,Coventry,2016,N/A,N/A,N/A,N/A,N/A,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (difference with national comparator) for... Roma Gyspy",% difference between national comparator,N/A,N/A,N/A,-47,Coventry,2016,N/A,N/A,N/A,N/A,N/A,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (difference with national comparator) for... Irish", , ,N/A,N/A,19,Coventry,2016,N/A,N/A,N/A,N/A,N/A,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (difference with national comparator) for... Traveller of Irish Heritage", , ,N/A,N/A,14,Coventry,2016,N/A,N/A,N/A,N/A,N/A,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (difference with national comparator) for... Transient",% difference between national comparator,N/A,N/A,N/A,27,Coventry,2016,N/A,N/A,N/A,N/A,N/A,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (difference with national comparator) for... Pupil Premium",% difference between national comparator,N/A,N/A,N/A,-16,Coventry,2016,N/A,N/A,N/A,N/A,N/A,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (difference with national comparator) for... Looked After Children",% difference between national comparator,N/A,N/A,N/A,-20,Coventry,2016,N/A,N/A,N/A,N/A,N/A,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (difference with national comparator) for... Special Educational Needs",% difference between national comparator,N/A,N/A,N/A,-42,Coventry,2016,N/A,N/A,N/A,N/A,N/A,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (difference with national comparator) for... Boys",% difference between national comparator,N/A,N/A,N/A,-10,Coventry,2016,N/A,N/A,N/A,N/A,N/A,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,"Key Stage 2: expected standard in reading, writing & maths (difference with national comparator) for... Girls",% difference between national comparator,N/A,N/A,N/A,-2,Coventry,2016,N/A,N/A,N/A,N/A,N/A,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results for Black African,Average score,N/A,N/A,N/A,48,Coventry,2016,N/A,N/A,N/A,50,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results for Black Caribbean,Average score,N/A,N/A,N/A,43,Coventry,2016,N/A,N/A,N/A,50,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results for Black other,Average score,N/A,N/A,N/A,53,Coventry,2016,N/A,N/A,N/A,50,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results for Asian Pakistani,Average score,N/A,N/A,N/A,49,Coventry,2016,N/A,N/A,N/A,50,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results for Asian Bangladeshi,Average score,N/A,N/A,N/A,55,Coventry,2016,N/A,N/A,N/A,50,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results for White,Average score,N/A,N/A,N/A,47,Coventry,2016,N/A,N/A,N/A,50,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results for White and Black African,Average score,N/A,N/A,N/A,42,Coventry,2016,N/A,N/A,N/A,50,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results for White and Black Caribbean,Average score,N/A,N/A,N/A,45,Coventry,2016,N/A,N/A,N/A,50,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results for White and Asian,Average score,N/A,N/A,N/A,46,Coventry,2016,N/A,N/A,N/A,50,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results for Any other mixed,Average score,N/A,N/A,N/A,49,Coventry,2016,N/A,N/A,N/A,50,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results for Gypsy Roma,Average score,N/A,N/A,N/A,19,Coventry,2016,N/A,N/A,N/A,50,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results for Pupil Premium,Average score,N/A,N/A,N/A,40,Coventry,2016,N/A,N/A,N/A,50,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results for White Boys Pupil Premium,Average score,N/A,N/A,N/A,34,Coventry,2016,N/A,N/A,N/A,50,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results for Special Educational Needs,Average score,N/A,N/A,N/A,30,Coventry,2016,N/A,N/A,N/A,50,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results for Looked After Children,Average score,N/A,N/A,N/A,27,Coventry,2016,N/A,N/A,N/A,50,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results for Boys,Average score,N/A,N/A,N/A,45,Coventry,2016,N/A,N/A,N/A,50,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results for Girls,Average score,N/A,N/A,N/A,51,Coventry,2016,N/A,N/A,N/A,50,All pupils,2016,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results (difference with national comparator)... for Black African,% difference between national comparator,N/A,N/A,N/A,-2,Coventry,2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results (difference with national comparator)... for Black Caribbean,% difference between national comparator,N/A,N/A,N/A,-7,Coventry,2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results (difference with national comparator)... for Black other,% difference between national comparator,N/A,N/A,N/A,3,Coventry,2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results(difference with national comparator)... for Asian Pakistani,% difference between national comparator,N/A,N/A,N/A,-1,Coventry,2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results (difference with national comparator)... for Asian Bangladeshi,% difference between national comparator,N/A,N/A,N/A,5,Coventry,2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results(difference with national comparator)... for White,% difference between national comparator,N/A,N/A,N/A,-3,Coventry,2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results(difference with national comparator)... for White and Black African,% difference between national comparator,N/A,N/A,N/A,-8,Coventry,2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results (difference with national comparator)... for White and Black Caribbean,% difference between national comparator,N/A,N/A,N/A,-5,Coventry,2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results (difference with national comparator)... for White and Asian,% difference between national comparator,N/A,N/A,N/A,-4,Coventry,2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results(difference with national comparator)... for Any other mix,% difference between national comparator,N/A,N/A,N/A,-1,Coventry,2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results (difference with national comparator).. for Gypsy Roma,% difference between national comparator,N/A,N/A,N/A,-31,Coventry,2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results(difference with national comparator)... for Pupil Premium,% difference between national comparator,N/A,N/A,N/A,-10,Coventry,2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results (difference with national comparator)... for White Boys Pupil Premium,% difference between national comparator,N/A,N/A,N/A,-16,Coventry,2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results (difference with national comparator)... for Looked After Children,% difference between national comparator,N/A,N/A,N/A,-23,Coventry,2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results (difference with national comparator)... for Special Educational Needs, ,N/A,N/A,N/A,-20,Coventry,2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results (difference with national comparator)... for Boys,% difference between national comparator,N/A,N/A,N/A,-5,Coventry,2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,N/A
Locally committed,Improving educational outcomes,FALSE, ,TRUE,FALSE,Key Stage 4: achieving Attainment 8 results (difference with national comparator)... for Girls,% difference between national comparator,N/A,N/A,N/A,1,Coventry,2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,N/A,N/A,N/A
Locally committed,Improve health and wellbeing,FALSE, ,TRUE,FALSE,Emergency hospital admissions resulting from self-harm and abuse,"Rate per 100,000",264.3,coventry,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,N/A,N/A,No target set
Locally committed,Make communities safer,FALSE, ,TRUE,FALSE,Domestic violence (crime and non crime) offences reported to the police by females,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Locally committed,Make communities safer,FALSE, ,TRUE,FALSE,Domestic violence (crime and non crime) offences reported to the police by males,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Locally committed,Make communities safer,FALSE, ,TRUE,FALSE,Domestic violence (crime and non crime) offences reported to the police by BME people,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Locally committed,Make communities safer,FALSE, ,TRUE,FALSE,Domestic violence (crime and non crime) offences reported to the police by LGBT people,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Locally committed,Make communities safer,FALSE, ,TRUE,FALSE,Domestic violence (crime and non crime) offences reported to the police by disabled people,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Locally committed,Make communities safer,FALSE, ,TRUE,FALSE,Domestic violence (crime and non crime) offences reported to the police involving children,%,38,Coventry,2015/16,38,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable
Delivering our priorities with fewer resources,Making the most of our assets,FALSE, ,TRUE,FALSE,Council employees (number of contracts),number,5331,Coventry,Mar-16,5262,Coventry,Oct-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable
Delivering our priorities with fewer resources,Making the most of our assets,FALSE, ,TRUE,FALSE,Council employees who have declared a disability,%,5.4,Coventry,Mar-16,5.28,Coventry,Oct-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable
Delivering our priorities with fewer resources,Making the most of our assets,FALSE, ,TRUE,FALSE,Council employees who have declared a disability,number,288,Coventry,Mar-16,278,Coventry,Oct-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delivering our priorities with fewer resources,Making the most of our assets,FALSE, ,TRUE,FALSE,Council employees who are female %,%,69.5,Coventry,Mar-16,69.18,Coventry,Oct-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable
Delivering our priorities with fewer resources,Making the most of our assets,FALSE, ,TRUE,FALSE,Council employees who are female-number,number,3705,Coventry,Mar-16,3640,Coventry,Oct-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delivering our priorities with fewer resources,Making the most of our assets,FALSE, ,TRUE,FALSE,Council senior managers (above Grade 10) who are female %,%,53.23,Coventry,Mar-16,56.59,Coventry,Oct-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable
Delivering our priorities with fewer resources,Making the most of our assets,FALSE, ,TRUE,FALSE,Council senior managers (above Grade 10) who are female number,number,66,Coventry,Mar-16,73,Coventry,Oct-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delivering our priorities with fewer resources,Making the most of our assets,FALSE, ,TRUE,FALSE,Council employees who are from BME communities %,%,16.11,Coventry,Mar-16,15.77,Coventry,Oct-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable
Delivering our priorities with fewer resources,Making the most of our assets,FALSE, ,TRUE,FALSE,Council employees who are from BME communities number,number,859,Coventry,Mar-16,830,Coventry,Oct-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delivering our priorities with fewer resources,Making the most of our assets,FALSE, ,TRUE,FALSE,BME representation at senior management (above Grade 10) - %,%,8.9,Coventry,Mar-16,7.75,Coventry,Oct-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable
Delivering our priorities with fewer resources,Making the most of our assets,FALSE, ,TRUE,FALSE,BME representation at senior management (above Grade 10) - number,number,9,Coventry,Mar-16,10,Coventry,Oct-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Locally committed,Protecting our most vulnerable people,FALSE, ,FALSE,TRUE,"Young people reporting increased awareness of risks, supporting services, CSE and online safety",%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,N/A
Locally committed,Protecting our most vulnerable people,FALSE, ,FALSE,TRUE,Children aged under 11 accessing Compass substance misuse early intervention service,%,8,Coventry,2015/16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A
Locally committed,Protecting our most vulnerable people,FALSE, ,FALSE,TRUE,New clients aged 25 or under accessing CRASAC's counselling service & helpline,number,183,Coventry,2015/16,202,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,183,N/A
Locally committed,Protecting our most vulnerable people,FALSE, ,FALSE,TRUE,Reporting of sexual violence in young people,number,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,308,N/A
Delivering our priorities with fewer resources,Making the most of our assets,FALSE, ,FALSE,TRUE,Relevant Council decisions which consider Marmot implications,%,0,Coventry,2015/16,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,30,On-target
Globally connected,Helping local people into jobs,FALSE, ,FALSE,TRUE,People recorded as unfit for work claiming employment and support allowance,%,6.8,Coventry,2015/16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,N/A,6.5,N/A
Globally connected,Helping local people into jobs,FALSE, ,FALSE,TRUE,People supported into employment by the job shop,number,1844,Coventry,2015/16,672,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Wrong direction,2000,Off-target
Globally connected,Helping local people into jobs,FALSE, ,FALSE,TRUE,Workplaces signed up to workplace wellbeing charter,number,25,Coventry,2015/16,7,Coventry,Apr-Sep 2016,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Wrong direction,41,Off-target
Globally connected,Helping local people into jobs,FALSE, ,FALSE,TRUE,Gap in resident employment rate between those with a health condition and the average,%,30.5,Coventry,2015/16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,N/A,28.9,N/A
Globally connected,Helping local people into jobs,FALSE, ,FALSE,TRUE,People with disabilities in employment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
