Sort Order,Council Plan,Priority,Progress,Council Plan Indicator,Indicator,Unit,2015/16 end of year indicator value,2015/16 end of year indicator scope,2015/16 end of year indicator date,2016/17 half year indicator value,2016/17 half year indicator scope,2016/17 half year indicator date,2016/17 end of year indicator value,2016/17 end of year indicator scope,2016/17 end of year indicator date,2017/18 half year indicator value,2017/18 half year indicator scope,2017/18 half year indicator date,2017/18 end of year indicator value,2017/18 end of year indicator scope,2017/18 end of year indicator date,2018-19 end of year indicator value,2018-19 end of year indicator scope,2018-19 end of year indicator date,2019-20 end of year indicator value,2019-20 end of year indicator scope,2019-20 end of year indicator date,2016/17 half year indicator comparator indicator value,2016/17 half year indicator comparator indicator scope,2016/17 half year indicator comparator indicator date,2016/17 end of year indicator comparator indicator value,2016/17 end of year indicator comparator indicator scope,2016/17 end of year indicator comparator indicator date,2017/18 half year indicator comparator indicator value,2017/18 half year indicator comparator indicator scope,2017/18 half year indicator comparator indicator date,2017/18 end of year indicator comparator indicator value,2017/18 end of year comparator indicator scope,2017/18 end of year indicator comparator indicator date,2018-19 end of year  comparator indicator value,2018-19 end of year  comparator indicator scope,2018-19 end of year comparator indicator date,2019-20 end of year  comparator indicator value,2019-20 end of year  comparator indicator scope,2019-20 end of year comparator indicator date,2016/17 half year indicator national indicator value,2016/17 half year indicator national indicator scope,2016/17 half year indicator national indicator date,2016/17 end of year indicator national indicator value,2016/17 end of year indicator national indicator scope,2016/17 end of year indicator national indicator date,2017/18 half year indicator national indicator value,2017/18 half year indicator national indicator scope,2017/18 half year indicator national indicator date,2017/18 end of year indicator national indicator value,2017/18 end of year indicator national indicator scope,2017/18 end of year indicator national indicator date,2018-19 end of year national indicator value,2018-19 end of year national indicator scope,2018-19 end of year national indicator date,2019-20 end of year national indicator value,2019-20 end of year national indicator scope,2019-20 end of year national indicator date,Target Status,,,,,,,
39,Locally committed,Make communities safer,WORSE,TRUE,Repeat victims of domestic violence reported,%,9.5,Coventry,2015/16,4.1,Coventry,Apr-Sep 2016/17,11.1,Coventry,2016/17 Revised,11.4,Coventry,Oct 2016 - Sep 2017,11.3,Coventry,2017/18,23.1,Coventry ,2018/19 revised,24.6,Coventry ,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No Target Set,,,,,,,
40,Locally committed,Improving educational outcomes,BETTER,TRUE,Pupils attending a good/outstanding primary school,%,84.8,Coventry,2015,N/A,N/A,N/A,92,Coventry,Aug-16,94,Coventry,Mar-17,95,Coventry,Mar-18,95,Coventry ,Mar-19,91,Coventry ,Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86,Statistical Neighbours,Mar-18,85,Statistical Neighbours,Mar-19,86,Statistical Neighbours,Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,90,England,Oct-17,90,England,Mar-18,87,England,Mar-19,88,England,Mar-20,On-target,,,,,,,
41,Locally committed,Improving educational outcomes,WORSE,TRUE,Pupils attending a good/outstanding secondary school,%,56.6,Coventry,2015,N/A,N/A,N/A,67.9,Coventry,2016,75,Coventry,Mar-17,74,Coventry,Mar-18,80,Coventry ,Mar-19,71,Coventry ,Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76,Statistical Neighbours,Mar-18,76,Statistical Neighbours,Mar-19,72,Statistical Neighbours,Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,83,England,Oct-17,83,England,Mar-18,80,England,Mar-19,80,England,Mar-20,Off-target,,,,,,,
42,Locally committed,Improving educational outcomes,BETTER,TRUE,Pupils attending a good/outstanding special school,%,81,Coventry,Mar-16,N/A,N/A,N/A,100,Coventry,Mar-17,N/A,N/A,N/A,100,Coventry,Mar-18,100,Coventry ,Mar-19,100,Coventry ,Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89,Statistical Neighbours,Mar-19,99,Statistical Neighbours,Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94,England,Mar-19,93,England,Mar-20,On-target,,,,,,,
43,Locally committed,Improving educational outcomes,BETTER,TRUE,Primary school pupils with permanent exclusions,%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.11,Coventry,Mar-18,0.03,Coventry ,Mar-19,0.01,Coventry ,Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.03,Statistical Neighbours,Mar-18,0.03,Statistical Neighbours,Mar-19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.03,England,2016/17,0.03,England,2018/19,On-target,,,,,,,
44,Locally committed,Improving educational outcomes,BETTER,TRUE,Secondary school pupils with permanent exclusions,%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3,Coventry,Mar-18,0.06,Coventry ,Mar-19,0.04,Coventry ,Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.23,Statistical Neighbours,Mar-18,0.26,Statistical Neighbours,Mar-19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2,England,2016/17,0.2,England,2018/19,On-target,,,,,,,
45,Locally committed,Improving educational outcomes,BETTER,TRUE,"Key stage 2 expected standard in reading, writing & maths",%,New Indicator,N/A,N/A,N/A,N/A,N/A,49,Coventry,"2016
",N/A,N/A,N/A,58,Coventry,2017,62,Coventry ,2018,62,Coventry ,2019,N/A,N/A,N/A,50,Statistical Neighbours,"2016
",N/A,N/A,N/A,57,Statistical Neighbours,2017,61,Statistical Neighbours,2018,61,Statistical Neighbours,2019,N/A,N/A,N/A,53,England,"2016
",N/A,N/A,N/A,61,England,2017,64,England,2018,65,England,2019,On-target,,,,,,,
46,Locally committed,Improving educational outcomes,BETTER,TRUE,Key stage 4: attainment 8,average score,46.2,Coventry,2015 revised,N/A,N/A,N/A,48.1,Coventry,"2016
",N/A,N/A,N/A,42.8,Coventry,2017,43.3,Coventry ,2018,43.6,Coventry ,2019,N/A,N/A,N/A,47.9,Statistical Neighbours,"2016
",N/A,N/A,N/A,43.8,Statistical Neighbours,2017,43.7,Statistical Neighbours,2018,44,Statistical Neighbours,2019,N/A,N/A,N/A,49.9,England,"2016
",N/A,N/A,N/A,46.3,England,2017,46.6,England,2018,46.7,England,2019,Off-target,,,,,,,
47,Locally committed,Improving educational outcomes,WORSE,TRUE,Key stage 4: progress 8,relative difference,0.03,Coventry,2015,N/A,N/A,N/A,-0.05,Coventry,"2016
",N/A,N/A,N/A,-0.12,Coventry,2017,-0.08,Coventry ,2018,-0.12,Coventry ,2019,N/A,N/A,N/A,-0.11,Statistical Neighbours,"2016
",N/A,N/A,N/A,-0.09,Statistical Neighbours,2017,-0.14,Statistical Neighbours,2018,-0.14,Statistical Neighbours,2019,N/A,N/A,N/A,-0.03,England,"2016
",N/A,N/A,N/A,-0.03,England,2017,-0.02,England,2018,-0.03,England,2019,On-target,,,,,,,
48,Locally committed,Improving educational outcomes,WORSE,TRUE,Key stage 4: standard pass (grades 9-4) in English and maths,%,New Indicator,N/A,N/A,N/A,N/A,N/A,61,Coventry,"2016
",N/A,N/A,N/A,58.3,Coventry,2017,60.2,Coventry ,2018,59.4,Coventry ,2019,N/A,N/A,N/A,59,Statistical Neighbours,"2016
",N/A,N/A,N/A,57.8,Statistical Neighbours,2017,59.5,Statistical Neighbours,2018,59.9,Statistical Neighbours,2019,N/A,N/A,N/A,63,England,"2016
",N/A,N/A,N/A,63.9,England,2017,64.4,England,2018,64.9,England,2019,Off-target,,,,,,,
49,Locally committed,Improving educational outcomes,BETTER,TRUE,Key stage 4: good pass (grades 9-5) in English and maths,%,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.2,Coventry,2017,37.5,Coventry ,2018,38,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.6,Statistical Neighbours,2017,38.6,Statistical Neighbours,2018,38.2,Statistical Neighbours,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.9,England,2017,43.5,England,2018,43.4,England,2019,Off-target,,,,,,,
50,Locally committed,Improving educational outcomes,BETTER,TRUE,Key Stage 5 level 3 average point score A Level entry,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,28.29,Coventry,"2016
",N/A,N/A,N/A,28.95,Coventry,2017,29.81,Coventry ,2018,30.58,Coventry ,2019,N/A,N/A,N/A,27.94,Statistical Neighbours,2016,N/A,N/A,N/A,29.06,Statistical Neighbours,2017,30.21,Statistical Neighbours,2018,30.99,Statistical Neighbours,2019,N/A,N/A,N/A,30.45,England,"2016
",N/A,N/A,N/A,32.14,England,2017,32.12,England,2018,32.87,England,2019,Off-target,,,,,,,
51,Locally committed,Improving educational outcomes,,FALSE,Key Stage 5 level 3 average grade A Level entry,grade,New Indicator,N/A,N/A,N/A,N/A,N/A, C-,Coventry,"2016
",N/A,N/A,N/A, C+,Coventry,2017,C,Coventry ,2018,C,Coventry ,2019,N/A,N/A,N/A, C-,Statistical Neighbours,2016,N/A,N/A,N/A, C-,Statistical Neighbours,2017,C,Statistical Neighbours,2018,C,Statistical Neighbours,2019,N/A,N/A,N/A, C,England,"2016
",N/A,N/A,N/A, C+,England,2017,C+,England,2018,C+,England,2019, ,,,,,,,
52,Locally committed,Improving educational outcomes,BETTER,TRUE,Key Stage 5 level 3 average point score per tech level entry,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,28.63,Coventry,"2016
",N/A,N/A,N/A,29.29,Coventry,2017,31.66,Coventry ,2018,32.75,Coventry ,2019,N/A,N/A,N/A,30.82,Statistical Neighbours,2016,N/A,N/A,N/A,32.35,Statistical Neighbours,2017,28.6,Statistical Neighbours,2018,27.65,Statistical Neighbours,2019,N/A,N/A,N/A,30.77,England,"2016
",N/A,N/A,N/A,32.25,England,2017,28.11,England,2018,28.64,England,2019,On-target,,,,,,,
53,Locally committed,Improving educational outcomes,,FALSE,Key Stage 5 level 3 average grade per tech level entry,grade,New Indicator,N/A,N/A,N/A,N/A,N/A,Merit +,Coventry,"2016
",N/A,N/A,N/A,Merit +,Coventry,2017,Distinction-,Coventry ,2018,Distinction,Coventry ,2019,N/A,N/A,N/A,Distinction -,Statistical Neighbours,2016,N/A,N/A,N/A,Distinction -,Statistical Neighbours,2017,Merit +,Statistical Neighbours,2018,Merit,Statistical Neighbours,2019,N/A,N/A,N/A,Distinction -,England,"2016
",N/A,N/A,N/A,Distinction -,England,2017,Merit +,England,2018,Merit,England,2019, ,,,,,,,
54,Locally committed,Improving educational outcomes,BETTER,TRUE,Key Stage 5 level 3 average point score per general applied entry,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,35.08,Coventry,"2016
",N/A,N/A,N/A,34.49,Coventry,2017,25.46,Coventry ,2018,27.21,Coventry ,2019,N/A,N/A,N/A,34.41,Statistical Neighbours,2016,N/A,N/A,N/A,36.27,Statistical Neighbours,2017,28.6,Statistical Neighbours,2018,27.15,Statistical Neighbours,2019,N/A,N/A,N/A,34.67,England,"2016
",N/A,N/A,N/A,35.69,England,2017,28.43,England,2018,28.91,England,2019,On-target,,,,,,,
55,Locally committed,Improving educational outcomes,,FALSE,Key Stage 5 level 3 average grade per general applied entry,grade,New Indicator,N/A,N/A,N/A,N/A,N/A,Distinction,Coventry,"2016
",N/A,N/A,N/A,Distinction,Coventry,2017,Merit,Coventry ,2018,Merit+,Coventry ,2019,N/A,N/A,N/A,Distinction ,Statistical Neighbours,2016,N/A,N/A,N/A,Distinction ,Statistical Neighbours,2017,Merit +,Statistical Neighbours,2018,Merit+,Statistical Neighbours,2019,N/A,N/A,N/A,Distinction ,England,"2016
",N/A,N/A,N/A,Distinction ,England,2017,Merit +,England,2018,Merit+,England,2019, ,,,,,,,
56,Locally committed,Improve health and wellbeing,EQUALS,TRUE,Overweight or obese among children in Year 6,%,35.6,Coventry,2013/14,35.4,Coventry,2014/15,37.5,Coventry,2015/16,N/A,N/A,N/A,38.2,Coventry,2016/17,37.9,Coventry ,2017/18,38.3,Coventry ,2018/19,35.8,WMR,2014/15,36.6,WMR,2015/16,N/A,N/A,N/A,37.1,WMR,2016/17,37.1,WMR,2017/18,37.5,WMR,2018/19,33.2,England,2014/15,34.2,England,2015/16,N/A,N/A,N/A,34.2,England,2016/17,34.3,England,2017/18,34.3,England,2018/19,No Target Set,,,,,,,
57,Locally committed,Improve health and wellbeing,EQUALS,TRUE,HIV late diagnosis,%,51.6,Coventry,2013-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53.7,Coventry,2014-16 revised,54.9,Coventry ,2015-17,52.7,Coventry ,2016-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.1,WMR,2014-16,46.1,WMR,2015-17,46,WMR,2016-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.1,England,2014-16,41.1,England,2015-17,42.5,England,2016-18,No Target Set,,,,,,,
58,Locally committed,Improve health and wellbeing,BETTER,TRUE,Smoking status at time of delivery,%,12.3,Coventry,2015/16 ,N/A,N/A,N/A,12.3,Coventry,2015/16,11,Coventry,Jan-March 2016/17,10.9,Coventry,2016/17,11.8,Coventry ,2017/18,10.6,Coventry ,2018/19,N/A,N/A,N/A,11.9,WMR,2015/16 revised,N/A,N/A,N/A,11.8,WMR,2016/17,11.9,WMR,2017/18,11.9,WMR,2018/19,N/A,N/A,N/A,11,England,2015/16 revised,N/A,N/A,N/A,10.7,England,2016/17,10.8,England,2017/18,10.6,England,2018/19,No Target Set,,,,,,,
59,Locally committed,Improve health and wellbeing,CANT SAY,TRUE,Recorded cases of diabetes as recorded on GP practice (%),% of patients aged 17 years and over,6.5,Coventry,2014/15,N/A,N/A,N/A,N/A,N/A,N/A,6.7,Coventry,2015/16,6.7,Coventry,2016/17,6.7,Coventry ,2017/18,6.7,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,7.5,WMR,2015/16,7.5,WMR,2016/17,7.7,WMR,2017/18,7.6,WMR,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,6.5,England,2015/16,6.7,England,2016/17,6.8,England,2017/18,6.9,England,2018/19,Target not applicable,,,,,,,
60,Locally committed,Improve health and wellbeing,,FALSE,Recorded cases of diabetes as recorded on GP practice (number),number,19351,Coventry,2014/15,N/A,N/A,N/A,N/A,N/A,N/A,20772,Coventry,2015/16,21296,Coventry,2016/17,27306,Coventry ,2017/18,28146,Coventry ,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
61,Locally committed,Improve health and wellbeing,EQUALS,TRUE,Percentage of physically active adults,%,Revised Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.3,Coventry,2015/16 revised,59.3,Coventry,2016/17,60.6,Coventry ,2017/18,61.1,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,63.8,WMR,2015/16 revised,62.6,WMR,2016/17,63.2,WMR,2017/18,64,WMR,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,66.1,England,2015/16 revised,66,England,2016/17,66.3,England,2017/18,67.2,England,2018/19,No Target Set,,,,,,,
62,Locally committed,Improve health and wellbeing,BETTER,TRUE,"Hospital admissions caused by injuries in children 0-14 (rate per 10,000)","rate per 10,000",149.9,Coventry,2014/15,N/A,N/A,N/A,173.2,Coventry,2015/16,N/A,N/A,N/A,190.2,Coventry,2016/17,203.7,Coventry ,2017/18,184.9,Coventry ,2018/19,N/A,N/A,N/A,110.4,WMR,2015/16,N/A,N/A,N/A,106.7,WMR,2016/17,103.4,WMR,2017/18,108.8,WMR,2018/19,N/A,N/A,N/A,104.2,England,2015/16,N/A,N/A,N/A,101.5,England,2016.17,96.4,England,2017/18,96.1,England,2018/19,No Target Set,,,,,,,
63,Locally committed,Improve health and wellbeing,,FALSE,Hospital admissions caused by injuries in children 0-14 (number),number,944,Coventry,2014/15,N/A,N/A,N/A,1112,Coventry,2015/16,N/A,N/A,N/A,1248,Coventry,2016/17,1358,Coventry ,2017/18,1255,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
64,Locally committed,Improve health and wellbeing,BETTER,TRUE,"Conceptions to girls aged under 18 (rate per 1,000 girls aged 15-17)","rate per 1,000 girls aged 15-17",33.8,Coventry,2014,N/A,N/A,N/A,29.9,Coventry,2015,28.3,Coventry,Jul 2015-Jun 2016,26.6,Coventry,2016,26.1,Coventry ,2017,21.2,Coventry ,2018,N/A,N/A,N/A,27.1,WMCA,2015,N/A,N/A,N/A,23.2,WMCA,2016,22.4,WMCA,2017,21.9,WMCA,2018,N/A,N/A,N/A,20.8,England,2015,N/A,N/A,N/A,18.8,England,2016,17.8,England,2017,16.7,England,2018,No Target Set,,,,,,,
65,Locally committed,Protecting our most vulnerable people,BETTER,TRUE,Good level of development at age 5,%,63.9,Coventry,2015,N/A,N/A,N/A,65.4,Coventry,2016,N/A,N/A,N/A,66.1,Coventry,2017,67.8,Coventry ,2018,69,Coventry ,2019,N/A,N/A,N/A,66.4,SN,2016,N/A,N/A,N/A,67.9,SN,2017,68.8,SN,2018,69,SN,2019,N/A,N/A,N/A,69.3,England,2016,N/A,N/A,N/A,70.7,England,2017,71.5,England,2018,71.8,England,2019,Off-target,,,,,,,
66,Locally committed,Protecting our most vulnerable people,WORSE,TRUE,Gap (in the good level of development at age 5) between the lowest achieving 20% and the rest,%,36,Coventry,2015,N/A,N/A,N/A,35.1,Coventry,2016,N/A,Coventry,2017 Provisional,37.3,Coventry,2017,37.4,Coventry ,2018,38.6,Coventry ,2019,N/A,N/A,N/A,35.6,SN,2016,N/A,N/A,N/A,35,SN,2017,35.24,SN,2018,35.48,SN,2019,N/A,N/A,N/A,31.4,England,2016,N/A,N/A,N/A,31.7,England,2017,31.8,England,2018,32.4,England,2019,Off-target,,,,,,,
67,Locally committed,Protecting our most vulnerable people,CANT SAY,TRUE,"Looked after children (rate per 10,000)","rate per 10,000 population under 18",78.3,Coventry,Mar-16,78,Coventry,Sep-16,81.1,Coventry,Mar-17,86.8,Coventry,Sep-17,84,Coventry,Mar-18,90.6,Coventry ,Mar-19,89.4,Coventry ,Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76.4,SN,2016/17,86,SN,2017/18,88,SN,2018/19,N/A,N/A,N/A,60.3,England,2015/16,N/A,N/A,N/A,60.3,England,2016/17,64,England,2017/18,65,England,2018/19,Target not applicable,,,,,,,
68,Locally committed,Protecting our most vulnerable people,,FALSE,Looked after children (number),number,580,Coventry,Mar-16,578,Coventry,Sep-16,620,Coventry,Mar-17,663,Coventry,Sep-17,652,Coventry,Mar-18,703,Coventry ,Mar-19,706,Coventry ,Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,598,SN,2017/18,N/A,SN,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
69,Locally committed,Protecting our most vulnerable people,BETTER,TRUE,Repeat referrals to children's social care,%,28.7,Coventry,2015/16,27.4,Coventry,Apr-Sep 2016/17,24,Coventry,Mar-17,18.1,Coventry,Apr-Sep 2017/18,21.1,Coventry,Mar-18,25.9,Coventry ,Mar-19,24.9,Coventry ,01/03/2020 provisional,N/A,N/A,N/A,N/A,N/A,N/A,22,SN,2016/17,N/A,N/A,N/A,22,SN,2017/18,21.4,SN,2018/19,N/A,N/A,N/A,22.3,England,2015/16,21.9,England,2016/17,N/A,N/A,N/A,22,England,2017/18,22,England,2018/19,Off-target,,,,,,,
70,Locally committed,Protecting our most vulnerable people,BETTER,TRUE,% of new looked after children who were previously looked after (rolling 12 months),%,N/A,N/A,N/A,N/A,N/A,N/A,6.2,Coventry,Mar-17,N/A,N/A,N/A,8.1,Coventry,Mar-18,8.1,Coventry ,Mar-19,7.7,Coventry ,01/03/2020 provisional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Off-target,,,,,,,
71,Locally committed,Protecting our most vulnerable people,CANT SAY,TRUE,Common assessment framework assessments closed with all actions complete,%,68.8,Coventry,2015/16,68.7,Coventry,Apr-Sep 2016/17,75.4,Coventry,2016/17 ,69.4,Coventry,Apr-Sep 2017/18,71.9,Coventry,Mar-18,69,Coventry ,Mar-19,72.8,Coventry ,01/03/2020 provisional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Target not applicable,,,,,,,
72,Locally committed,Protecting our most vulnerable people,CANT SAY,TRUE,Households accepted as statutory homeless (in priority need),number,560,Coventry,2015/16 revised,311,Coventry,Apr-Sep 2016/17,638,Coventry,2016/17 revised,268,Coventry,Apr-Sep 2017/18,557,Coventry,2017/18,388,Coventry ,2018/19,913,Coventry ,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Target not applicable,,,,,,,
73,Locally committed,Protecting our most vulnerable people,,FALSE,Rate households accepted as statutory homeless,"rate per 1,000 households",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.2,Coventry ,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.1,WMR,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3,England,2018/19,,,,,,,,
74,Locally committed,Protecting our most vulnerable people,CANT SAY,TRUE,Homelessness cases prevented and relieved,number,1411,Coventry,2015/16 revised,500,Coventry,Apr-Sep 2016/17,922,Coventry,2016/17 revised,281,Coventry,Apr-Sep 2017/18,659,Coventry,2017/18,413,Coventry ,2018/19,552,Coventry ,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Target not applicable,,,,,,,
75,Locally committed,Protecting our most vulnerable people,,FALSE,Rate homelessness cases prevented and relieved,"rate per 1,000 households",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.8,Coventry ,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.7,WMR,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.5,England,2018/19,,,,,,,,
76,Locally committed,Protecting our most vulnerable people,EQUALS,TRUE,Overall satisfaction of people who use services with their care and support,%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.4,Coventry ,2018/19,63.1,Coventry ,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.6,CIPFA,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.3,England,2018/19,No Target Set,,,,,,,
77,Locally committed,Protecting our most vulnerable people,N/A,TRUE,Overall satisfaction of carers with social services,%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.1,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.5,CIPFA,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.6,England,2018/19,No Target Set,,,,,,,
78,Locally committed,Protecting our most vulnerable people,CANT SAY,TRUE,"Adult safeguarding S42 enquiries (rate per 100,000 population)","rate per 100,000 population",357,Coventry,2015/16,332,Coventry,Apr-Sep 2016/17,390,Coventry,2016/17 revised,102,Coventry,Apr-Sep 2017/18,259,Coventry,2017/18,228,Coventry ,2018/19 ,185,Coventry ,2019/20,N/A,N/A,N/A,290,WMR,2015/16,184,WMR,2016/17,N/A,N/A,N/A,183,WMR,2017/18,223,WMR,2018/19,N/A,N/A,N/A,239,England,2015/16,250,England,2016/17,N/A,N/A,N/A,245,England,2017/18,326,England,2018/19,Target not applicable,,,,,,,
79,Locally committed,Protecting our most vulnerable people,,FALSE,Adult safeguarding S42 enquiries (number),number,966,Coventry,2015/16,499,Coventry,Apr-Sep 2016/17,920,Coventry,2016/17 revised,281,Coventry,Apr-Sep 2017/18,717,Coventry,2017/18,655,Coventry ,2018/19 ,532,Coventry ,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
80,Locally committed,Protecting our most vulnerable people,WORSE,TRUE,Regulated adult social care services rated as inadequate,%,3,Coventry,31-Mar-16,0,Coventry,30-Sep-16,1,Coventry,31-Mar-17,1,Coventry,Sep-17,4,Coventry,31-Mar-18,0,Coventry ,31-Mar-19,4.2,Coventry ,31-Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Off-target,,,,,,,
