Sort Order,Council Plan,Priority,Progress,Council Plan Indicator,Indicator,Unit,2015/16 end of year indicator value,2015/16 end of year indicator scope,2015/16 end of year indicator date,2016/17 half year indicator value,2016/17 half year indicator scope,2016/17 half year indicator date,2016/17 end of year indicator value,2016/17 end of year indicator scope,2016/17 end of year indicator date,2017/18 half year indicator value,2017/18 half year indicator scope,2017/18 half year indicator date,2017/18 end of year indicator value,2017/18 end of year indicator scope,2017/18 end of year indicator date,2018-19 end of year indicator value,2018-19 end of year indicator scope,2018-19 end of year indicator date,2019-20 end of year indicator value,2019-20 end of year indicator scope,2019-20 end of year indicator date,2020-21 end of year indicator value,2020-21 end of year indicator scope,2020-21 end of year indicator date,2016/17 end of year indicator comparator indicator value,2016/17 end of year indicator comparator indicator scope,2016/17 end of year indicator comparator indicator date,2017/18 half year indicator comparator indicator value,2017/18 half year indicator comparator indicator scope,2017/18 half year indicator comparator indicator date,2017/18 end of year indicator comparator indicator value,2017/18 end of year comparator indicator scope,2017/18 end of year indicator comparator indicator date,2018-19 end of year  comparator indicator value,2018-19 end of year  comparator indicator scope,2018-19 end of year comparator indicator date,2019-20 end of year  comparator indicator value,2019-20 end of year  comparator indicator scope,2019-20 end of year comparator indicator date,2019-20 end of year  comparator indicator value,2020-21 end of year  comparator indicator scope,2020-21 end of year comparator indicator date,2016/17 end of year indicator national indicator value,2016/17 end of year indicator national indicator scope,2016/17 end of year indicator national indicator date,2017/18 half year indicator national indicator value,2017/18 half year indicator national indicator scope,2017/18 half year indicator national indicator date,2017/18 end of year indicator national indicator value,2017/18 end of year indicator national indicator scope,2017/18 end of year indicator national indicator date,2018-19 end of year national indicator value,2018-19 end of year national indicator scope,2018-19 end of year national indicator date,2019-20 end of year national indicator value,2019-20 end of year national indicator scope,2019-20 end of year national indicator date,2020-21 end of year national indicator value,2020-21 end of year national indicator scope,2020-21 end of year national indicator date,Target Status,Coventry2030,,,,,
35,Locally committed,Make communities safer,,FALSE,Crime (number of crimes),number,21229,Coventry,2015/16 refreshed,11153,Coventry,Apr-Sep 2016/17,23019,Coventry,2016/17 revised,12164,Coventry,Apr-Sep 2017/18,25687,Coventry,2017/18,"28,056",Coventry ,Jan 2019 rolling year,28592,Coventry ,2019/20 revised,31309,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
36,Locally committed,Make communities safer,CANT SAY,TRUE,Drug offences and drug markers recorded,number,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,425/736,Coventry,2017/18,479/890,Coventry ,2018/19,548/1082,Coventry ,2019/20 revised,774/1507,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Target not applicable,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
37,Locally committed,Make communities safer,WORSE,TRUE,First time entrants to youth justice system,"rate per 100,0000 population 10-17",399,Coventry,2015/16,415,Coventry,Oct 15-Sep 16 Local Data,432,Coventry,2016/17,334,Coventry,Oct 2016-Sep 2017,311,Coventry,2017/18,235,Coventry ,2018/19,224,Coventry ,2019/20,230,Coventry ,2020/21,422,Family Group Average,2015/16,428,Family Group Average,2016/17,N/A,N/A,N/A,315,Family Group Average,2017/18,253,Family Group Average,2018/19,249,Family Group Average,Jan-Dec 2019,N/A,N/A,N/A,318,England,2016/17,N/A,N/A,N/A,302,England,2017/18,224,England,2018/19,208,England,Jan-Dec 2019,No Target Set,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
38,Locally committed,Make communities safer,CANT SAY,TRUE,Domestic violence offences known to the police,number,5972,Coventry,2015/16,3178,Coventry,Apr-Sep 2016/17,5771,Coventry,2016/17,2990,Coventry,Apr-Sep 2017/18,5812,Coventry,2017/18,6719,Coventry ,2018/19,7463,Coventry ,2019/20 revised,10203,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Target not applicable,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
39,Locally committed,Make communities safer,WORSE,TRUE,Repeat victims of domestic violence reported,%,9.5,Coventry,2015/16,4.1,Coventry,Apr-Sep 2016/17,11.1,Coventry,2016/17 Revised,11.4,Coventry,Oct 2016 - Sep 2017,11.3,Coventry,2017/18,23.1,Coventry ,2018/19 revised,23.8,Coventry ,2019/20 revised,29.6,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No Target Set,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
40,Locally committed,Improving educational outcomes,N/A,TRUE,Pupils attending a good/outstanding primary school,%,84.8,Coventry,2015,N/A,N/A,N/A,92,Coventry,Aug-16,94,Coventry,Mar-17,95,Coventry,Mar-18,95,Coventry ,Mar-19,91,Coventry ,Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86,Statistical Neighbours,Mar-18,85,Statistical Neighbours,Mar-19,86,Statistical Neighbours,Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,90,England,Oct-17,90,England,Mar-18,87,England,Mar-19,88,England,Mar-20,N/A,N/A,N/A,N/A,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
41,Locally committed,Improving educational outcomes,N/A,TRUE,Pupils attending a good/outstanding secondary school,%,56.6,Coventry,2015,N/A,N/A,N/A,67.9,Coventry,2016,75,Coventry,Mar-17,74,Coventry,Mar-18,80,Coventry ,Mar-19,71,Coventry ,Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76,Statistical Neighbours,Mar-18,76,Statistical Neighbours,Mar-19,72,Statistical Neighbours,Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,83,England,Oct-17,83,England,Mar-18,80,England,Mar-19,80,England,Mar-20,N/A,N/A,N/A,N/A,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
42,Locally committed,Improving educational outcomes,N/A,TRUE,Pupils attending a good/outstanding special school,%,81,Coventry,Mar-16,N/A,N/A,N/A,100,Coventry,Mar-17,N/A,N/A,N/A,100,Coventry,Mar-18,100,Coventry ,Mar-19,100,Coventry ,Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89,Statistical Neighbours,Mar-19,99,Statistical Neighbours,Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94,England,Mar-19,93,England,Mar-20,N/A,N/A,N/A,N/A,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
43,Locally committed,Improving educational outcomes,N/A,TRUE,Primary school pupils with permanent exclusions,%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.11,Coventry,Mar-18,0.03,Coventry ,Mar-19,0.01,Coventry ,Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.03,Statistical Neighbours,Mar-18,0.03,Statistical Neighbours,Mar-19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.03,England,2016/17,0.03,England,2018/19,N/A,N/A,N/A,N/A,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
44,Locally committed,Improving educational outcomes,N/A,TRUE,Secondary school pupils with permanent exclusions,%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3,Coventry,Mar-18,0.06,Coventry ,Mar-19,0.04,Coventry ,Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.23,Statistical Neighbours,Mar-18,0.26,Statistical Neighbours,Mar-19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2,England,2016/17,0.2,England,2018/19,N/A,N/A,N/A,N/A,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
45,Locally committed,Improving educational outcomes,N/A,TRUE,"Key stage 2 expected standard in reading, writing & maths",%,New Indicator,N/A,N/A,N/A,N/A,N/A,49,Coventry,"2016
",N/A,N/A,N/A,58,Coventry,2017,62,Coventry ,2018,62,Coventry ,2019,N/A,N/A,N/A,50,Statistical Neighbours,"2016
",N/A,N/A,N/A,57,Statistical Neighbours,2017,61,Statistical Neighbours,2018,61,Statistical Neighbours,2019,N/A,N/A,N/A,53,England,"2016
",N/A,N/A,N/A,61,England,2017,64,England,2018,65,England,2019,N/A,N/A,N/A,N/A,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
46,Locally committed,Improving educational outcomes,BETTER,TRUE,Key stage 4: attainment 8,average score,46.2,Coventry,2015 revised,N/A,N/A,N/A,48.1,Coventry,"2016
",N/A,N/A,N/A,42.8,Coventry,2017,43.3,Coventry ,2018,43.6,Coventry ,2019,47.2,Coventry ,2020,47.9,Statistical Neighbours,"2016
",N/A,N/A,N/A,43.8,Statistical Neighbours,2017,43.7,Statistical Neighbours,2018,44,Statistical Neighbours,2019,47.4,Statistical Neighbours,2020,49.9,England,"2016
",N/A,N/A,N/A,46.3,England,2017,46.6,England,2018,46.7,England,2019,50.2,England,2020,Off-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
47,Locally committed,Improving educational outcomes,N/A,TRUE,Key stage 4: progress 8,relative difference,0.03,Coventry,2015,N/A,N/A,N/A,-0.05,Coventry,"2016
",N/A,N/A,N/A,-0.12,Coventry,2017,-0.08,Coventry ,2018,-0.12,Coventry ,2019,N/A,N/A,N/A,-0.11,Statistical Neighbours,"2016
",N/A,N/A,N/A,-0.09,Statistical Neighbours,2017,-0.14,Statistical Neighbours,2018,-0.14,Statistical Neighbours,2019,N/A,N/A,N/A,-0.03,England,"2016
",N/A,N/A,N/A,-0.03,England,2017,-0.02,England,2018,-0.03,England,2019,N/A,N/A,N/A,N/A,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
48,Locally committed,Improving educational outcomes,BETTER,TRUE,Key stage 4: standard pass (grades 9-4) in English and maths,%,New Indicator,N/A,N/A,N/A,N/A,N/A,61,Coventry,"2016
",N/A,N/A,N/A,58.3,Coventry,2017,60.2,Coventry ,2018,59.4,Coventry ,2019,66.9,Coventry ,2020,59,Statistical Neighbours,"2016
",N/A,N/A,N/A,57.8,Statistical Neighbours,2017,59.5,Statistical Neighbours,2018,59.9,Statistical Neighbours,2019,66.2,Statistical Neighbours,2020,63,England,"2016
",N/A,N/A,N/A,63.9,England,2017,64.4,England,2018,64.9,England,2019,71.2,England,2020,On-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
49,Locally committed,Improving educational outcomes,BETTER,TRUE,Key stage 4: good pass (grades 9-5) in English and maths,%,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.2,Coventry,2017,37.5,Coventry ,2018,38,Coventry ,2019,44.8,Coventry ,2020,N/A,N/A,N/A,N/A,N/A,N/A,37.6,Statistical Neighbours,2017,38.6,Statistical Neighbours,2018,38.2,Statistical Neighbours,2019,44.4,Statistical Neighbours,2020,N/A,N/A,N/A,N/A,N/A,N/A,42.9,England,2017,43.5,England,2018,43.4,England,2019,49.9,England,2020,On-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
50,Locally committed,Improving educational outcomes,BETTER,TRUE,Key Stage 5 level 3 average point score A Level entry,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,28.29,Coventry,"2016
",N/A,N/A,N/A,28.95,Coventry,2017,29.81,Coventry ,2018,30.37,Coventry ,2019,36.75,Coventry ,2020,27.94,Statistical Neighbours,2016,N/A,N/A,N/A,29.06,Statistical Neighbours,2017,30.21,Statistical Neighbours,2018,30.99,Statistical Neighbours,2019,36.86,Statistical Neighbours,2020,30.45,England,"2016
",N/A,N/A,N/A,32.14,England,2017,32.12,England,2018,32.87,England,2019,39.51,England,2020,Off-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
51,Locally committed,Improving educational outcomes,,FALSE,Key Stage 5 level 3 average grade A Level entry,grade,New Indicator,N/A,N/A,N/A,N/A,N/A, C-,Coventry,"2016
",N/A,N/A,N/A, C+,Coventry,2017,C,Coventry ,2018,C,Coventry ,2019,C+,Coventry ,2020, C-,Statistical Neighbours,2016,N/A,N/A,N/A, C-,Statistical Neighbours,2017,C,Statistical Neighbours,2018,C,Statistical Neighbours,2019,C+,Statistical Neighbours,2020, C,England,"2016
",N/A,N/A,N/A, C+,England,2017,C+,England,2018,C+,England,2019,B,England,2020, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
52,Locally committed,Improving educational outcomes,BETTER,TRUE,Key Stage 5 level 3 average point score per tech level entry,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,28.63,Coventry,"2016
",N/A,N/A,N/A,29.29,Coventry,2017,31.66,Coventry ,2018,31.94,Coventry ,2019,29.2,Coventry ,2020,30.82,Statistical Neighbours,2016,N/A,N/A,N/A,32.35,Statistical Neighbours,2017,28.6,Statistical Neighbours,2018,27.65,Statistical Neighbours,2019,29.02,Statistical Neighbours,2020,30.77,England,"2016
",N/A,N/A,N/A,32.25,England,2017,28.11,England,2018,28.64,England,2019,29.77,England,2020,On-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
53,Locally committed,Improving educational outcomes,,FALSE,Key Stage 5 level 3 average grade per tech level entry,grade,New Indicator,N/A,N/A,N/A,N/A,N/A,Merit +,Coventry,"2016
",N/A,N/A,N/A,Merit +,Coventry,2017,Distinction-,Coventry ,2018,Distinction,Coventry ,2019,Merit,Coventry ,2020,Distinction -,Statistical Neighbours,2016,N/A,N/A,N/A,Distinction -,Statistical Neighbours,2017,Merit +,Statistical Neighbours,2018,Merit,Statistical Neighbours,2019,Merit,Statistical Neighbours,2020,Distinction -,England,"2016
",N/A,N/A,N/A,Distinction -,England,2017,Merit +,England,2018,Merit,England,2019,Merit,England,2020, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
54,Locally committed,Improving educational outcomes,BETTER,TRUE,Key Stage 5 level 3 average point score per general applied entry,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,35.08,Coventry,"2016
",N/A,N/A,N/A,34.49,Coventry,2017,25.46,Coventry ,2018,26.33,Coventry ,2019,31.44,Coventry ,2020,34.41,Statistical Neighbours,2016,N/A,N/A,N/A,36.27,Statistical Neighbours,2017,28.6,Statistical Neighbours,2018,27.15,Statistical Neighbours,2019,29.77,Statistical Neighbours,2020,34.67,England,"2016
",N/A,N/A,N/A,35.69,England,2017,28.43,England,2018,28.91,England,2019,31.25,England,2020,On-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
55,Locally committed,Improving educational outcomes,,FALSE,Key Stage 5 level 3 average grade per general applied entry,grade,New Indicator,N/A,N/A,N/A,N/A,N/A,Distinction,Coventry,"2016
",N/A,N/A,N/A,Distinction,Coventry,2017,Merit,Coventry ,2018,Merit+,Coventry ,2019,Merit,Coventry ,2020,Distinction ,Statistical Neighbours,2016,N/A,N/A,N/A,Distinction ,Statistical Neighbours,2017,Merit +,Statistical Neighbours,2018,Merit+,Statistical Neighbours,2019,Merit,Statistical Neighbours,2020,Distinction ,England,"2016
",N/A,N/A,N/A,Distinction ,England,2017,Merit +,England,2018,Merit+,England,2019,Merit,England,2020, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
56,Locally committed,Improve health and wellbeing,WORSE,TRUE,Overweight or obese among children in Year 6,%,35.6,Coventry,2013/14,35.4,Coventry,2014/15,37.5,Coventry,2015/16,N/A,N/A,N/A,38.2,Coventry,2016/17,37.9,Coventry ,2017/18,38.3,Coventry ,2018/19,40.6,Coventry ,2019/20,36.6,WMR,2015/16,N/A,N/A,N/A,37.1,WMR,2016/17,37.1,WMR,2017/18,37.5,WMR,2018/19,38.2,WMR,2019/20,34.2,England,2015/16,N/A,N/A,N/A,34.2,England,2016/17,34.3,England,2017/18,34.3,England,2018/19,35.2,England,2019/20,No Target Set,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
57,Locally committed,Improve health and wellbeing,EQUALS,TRUE,HIV late diagnosis,%,51.6,Coventry,2013-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53.7,Coventry,2014-16 revised,54.9,Coventry ,2015-17,52.7,Coventry ,2016-18,54.1,Coventry ,2017-19,N/A,N/A,N/A,N/A,N/A,N/A,44.1,WMR,2014-16,46.1,WMR,2015-17,46,WMR,2016-18,45.3,WMR,2017-19,N/A,N/A,N/A,N/A,N/A,N/A,40.1,England,2014-16,41.1,England,2015-17,42.5,England,2016-18,43.1,England,2017-19,No Target Set,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
58,Locally committed,Improve health and wellbeing,EQUALS,TRUE,Smoking status at time of delivery,%,12.3,Coventry,2015/16 ,N/A,N/A,N/A,12.3,Coventry,2015/16,11,Coventry,Jan-March 2016/17,10.9,Coventry,2016/17,11.8,Coventry ,2017/18,10.6,Coventry ,2018/19,10.7,Coventry ,2019/20,11.9,WMR,2015/16 revised,N/A,N/A,N/A,11.8,WMR,2016/17,11.9,WMR,2017/18,11.9,WMR,2018/19,12.1,WMR,2019/20,11,England,2015/16 revised,N/A,N/A,N/A,10.7,England,2016/17,10.8,England,2017/18,10.6,England,2018/19,10.4,England,2019/20,No Target Set,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
59,Locally committed,Improve health and wellbeing,CANT SAY,TRUE,Recorded cases of diabetes as recorded on GP practice (%),% of patients aged 17 years and over,6.5,Coventry,2014/15,N/A,N/A,N/A,N/A,N/A,N/A,6.7,Coventry,2015/16,6.7,Coventry,2016/17,6.7,Coventry ,2017/18,6.7,Coventry ,2018/19,6.8,Coventry ,2019/20,N/A,N/A,N/A,7.5,WMR,2015/16,7.5,WMR,2016/17,7.7,WMR,2017/18,7.6,WMR,2018/19,8.1,WMR,2019/20,N/A,N/A,N/A,6.5,England,2015/16,6.7,England,2016/17,6.8,England,2017/18,6.9,England,2018/19,7.1,England,2019/20,Target not applicable,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
60,Locally committed,Improve health and wellbeing,,FALSE,Recorded cases of diabetes as recorded on GP practice (number),number,19351,Coventry,2014/15,N/A,N/A,N/A,N/A,N/A,N/A,20772,Coventry,2015/16,21296,Coventry,2016/17,27306,Coventry ,2017/18,28146,Coventry ,2018/19,29142,Coventry ,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
61,Locally committed,Improve health and wellbeing,EQUALS,TRUE,Percentage of physically active adults,%,Revised Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.3,Coventry,2015/16 revised,59.3,Coventry,2016/17,60.6,Coventry ,2017/18,61.1,Coventry ,2018/19,61.9,Coventry ,2019/20,N/A,N/A,N/A,63.8,WMR,2015/16 revised,62.6,WMR,2016/17,63.2,WMR,2017/18,64,WMR,2018/19,63.1,WMR,2019/20,N/A,N/A,N/A,66.1,England,2015/16 revised,66,England,2016/17,66.3,England,2017/18,67.2,England,2018/19,66.4,England,2019/20,No Target Set,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
62,Locally committed,Improve health and wellbeing,BETTER,TRUE,"Hospital admissions caused by injuries in children 0-14 (rate per 10,000)","rate per 10,000",149.9,Coventry,2014/15,N/A,N/A,N/A,173.2,Coventry,2015/16,N/A,N/A,N/A,190.2,Coventry,2016/17,203.7,Coventry ,2017/18,184.9,Coventry ,2018/19,138.2,Coventry ,2019/20,110.4,WMR,2015/16,N/A,N/A,N/A,106.7,WMR,2016/17,103.4,WMR,2017/18,108.8,WMR,2018/19,97,WMR,2019/20,104.2,England,2015/16,N/A,N/A,N/A,101.5,England,2016.17,96.4,England,2017/18,96.1,England,2018/19,91.2,England,2019/20,No Target Set,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
63,Locally committed,Improve health and wellbeing,,FALSE,Hospital admissions caused by injuries in children 0-14 (number),number,944,Coventry,2014/15,N/A,N/A,N/A,1112,Coventry,2015/16,N/A,N/A,N/A,1248,Coventry,2016/17,1358,Coventry ,2017/18,1255,Coventry ,2018/19,945,Coventry ,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
64,Locally committed,Improve health and wellbeing,WORSE,TRUE,"Conceptions to girls aged under 18 (rate per 1,000 girls aged 15-17)","rate per 1,000 girls aged 15-17",33.8,Coventry,2014,N/A,N/A,N/A,29.9,Coventry,2015,28.3,Coventry,Jul 2015-Jun 2016,26.6,Coventry,2016,26.1,Coventry ,2017,21.2,Coventry ,2018,22.7,Coventry ,Sep-19,27.1,WMCA,2015,N/A,N/A,N/A,23.2,WMCA,2016,22.4,WMCA,2017,21.9,WMCA,2018,21.1,WMCA,Sep-19,20.8,England,2015,N/A,N/A,N/A,18.8,England,2016,17.8,England,2017,16.7,England,2018,15.9,England,Sep-19,No Target Set,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
65,Locally committed,Protecting our most vulnerable people,N/A,TRUE,Good level of development at age 5,%,63.9,Coventry,2015,N/A,N/A,N/A,65.4,Coventry,2016,N/A,N/A,N/A,66.1,Coventry,2017,67.8,Coventry ,2018,69,Coventry ,2019,N/A,N/A,N/A,66.4,SN,2016,N/A,N/A,N/A,67.9,SN,2017,68.8,SN,2018,69,SN,2019,N/A,N/A,N/A,69.3,England,2016,N/A,N/A,N/A,70.7,England,2017,71.5,England,2018,71.8,England,2019,N/A,N/A,N/A,N/A,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
66,Locally committed,Protecting our most vulnerable people,N/A,TRUE,Gap (in the good level of development at age 5) between the lowest achieving 20% and the rest,%,36,Coventry,2015,N/A,N/A,N/A,35.1,Coventry,2016,N/A,Coventry,2017 Provisional,37.3,Coventry,2017,37.4,Coventry ,2018,38.6,Coventry ,2019,N/A,N/A,N/A,35.6,SN,2016,N/A,N/A,N/A,35,SN,2017,35.24,SN,2018,35.48,SN,2019,N/A,N/A,N/A,31.4,England,2016,N/A,N/A,N/A,31.7,England,2017,31.8,England,2018,32.4,England,2019,N/A,N/A,N/A,N/A,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
67,Locally committed,Protecting our most vulnerable people,CANT SAY,TRUE,"Looked after children (rate per 10,000)","rate per 10,000 population under 18",78.3,Coventry,Mar-16,78,Coventry,Sep-16,81.1,Coventry,Mar-17,86.8,Coventry,Sep-17,84,Coventry,Mar-18,90.6,Coventry ,Mar-19,88,Coventry ,March 2020 revised,93.7,Coventry ,Mar-21,N/A,N/A,N/A,N/A,N/A,N/A,76.4,SN,2016/17,86,SN,2017/18,88,SN,2018/19,90,SN,2019/20,60.3,England,2015/16,N/A,N/A,N/A,60.3,England,2016/17,64,England,2017/18,65,England,2018/19,67,England,2019/20,Target not applicable,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
68,Locally committed,Protecting our most vulnerable people,,FALSE,Looked after children (number),number,580,Coventry,Mar-16,578,Coventry,Sep-16,620,Coventry,Mar-17,663,Coventry,Sep-17,652,Coventry,Mar-18,703,Coventry ,Mar-19,701,Coventry ,March 2020 revised,747,Coventry ,Mar-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,598,SN,2017/18,N/A,SN,2018/19,N/A,SN,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
69,Locally committed,Protecting our most vulnerable people,WORSE,TRUE,Repeat referrals to children's social care,%,28.7,Coventry,2015/16,27.4,Coventry,Apr-Sep 2016/17,24,Coventry,Mar-17,18.1,Coventry,Apr-Sep 2017/18,21.1,Coventry,Mar-18,25.9,Coventry ,Mar-19,24.6,Coventry ,March 2020 revised,25.1,Coventry ,March 2021 provisional,N/A,N/A,N/A,22,SN,2016/17,N/A,N/A,N/A,22,SN,2017/18,21.4,SN,2018/19,24.7,SN,2019/20,22.3,England,2015/16,21.9,England,2016/17,N/A,N/A,N/A,22,England,2017/18,22,England,2018/19,22.6,England,2019/20,Off-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
70,Locally committed,Protecting our most vulnerable people,BETTER,TRUE,% of new looked after children who were previously looked after (rolling 12 months),%,N/A,N/A,N/A,N/A,N/A,N/A,6.2,Coventry,Mar-17,N/A,N/A,N/A,8.1,Coventry,Mar-18,8.1,Coventry ,Mar-19,7.7,Coventry ,Mar-20,5.6,Coventry ,March 2021 provisional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,On-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
71,Locally committed,Protecting our most vulnerable people,CANT SAY,TRUE,Early help assessments closed with all actions complete,%,68.8,Coventry,2015/16,68.7,Coventry,Apr-Sep 2016/17,75.4,Coventry,2016/17 ,69.4,Coventry,Apr-Sep 2017/18,71.9,Coventry,Mar-18,69,Coventry ,Mar-19,72.8,Coventry ,01/03/2020 provisional,72.5,Coventry ,March 2021 provisional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No Target Set,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
72,Locally committed,Protecting our most vulnerable people,CANT SAY,TRUE,Households accepted as statutory homeless (in priority need),number,560,Coventry,2015/16 revised,311,Coventry,Apr-Sep 2016/17,638,Coventry,2016/17 revised,268,Coventry,Apr-Sep 2017/18,557,Coventry,2017/18,388,Coventry ,2018/19,913,Coventry ,2019/20,722,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,On-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
