Sort Order,Council Plan,Priority,Progress,Council Plan Indicator,Indicator,Unit,2015/16 end of year indicator value,2015/16 end of year indicator scope,2015/16 end of year indicator date,2016/17 half year indicator value,2016/17 half year indicator scope,2016/17 half year indicator date,2016/17 end of year indicator value,2016/17 end of year indicator scope,2016/17 end of year indicator date,2017/18 half year indicator value,2017/18 half year indicator scope,2017/18 half year indicator date,2017/18 end of year indicator value,2017/18 end of year indicator scope,2017/18 end of year indicator date,2018-19 end of year indicator value,2018-19 end of year indicator scope,2018-19 end of year indicator date,2016/17 half year indicator comparator indicator value,2016/17 half year indicator comparator indicator scope,2016/17 half year indicator comparator indicator date,2016/17 end of year indicator comparator indicator value,2016/17 end of year indicator comparator indicator scope,2016/17 end of year indicator comparator indicator date,2017/18 half year indicator comparator indicator value,2017/18 half year indicator comparator indicator scope,2017/18 half year indicator comparator indicator date,2017/18 end of year indicator comparator indicator value,2017/18 end of year comparator indicator scope,2017/18 end of year indicator comparator indicator date,2018-19 end of year  comparator indicator value,2018-19 end of year  comparator indicator scope,2018-19 end of year comparator indicator date,2016/17 half year indicator national indicator value,2016/17 half year indicator national indicator scope,2016/17 half year indicator national indicator date,2016/17 end of year indicator national indicator value,2016/17 end of year indicator national indicator scope,2016/17 end of year indicator national indicator date,2017/18 half year indicator national indicator value,2017/18 half year indicator national indicator scope,2017/18 half year indicator national indicator date,2017/18 end of year indicator national indicator value,2017/18 end of year indicator national indicator scope,2017/18 end of year indicator national indicator date,2018-19 end of year national indicator value,2018-19 end of year national indicator scope,2018-19 end of year national indicator date,Directionality,Progress,Target,Target Status, 
45,Locally committed,Improving educational outcomes,BETTER,TRUE,"Key stage 2 expected standard in reading, writing & maths",%,New Indicator,N/A,N/A,N/A,N/A,N/A,49,Coventry,"2016
",N/A,N/A,N/A,58,Coventry,2017,62,Coventry ,2018,N/A,N/A,N/A,50,Statistical Neighbours,"2016
",N/A,N/A,N/A,57,Statistical Neighbours,2017,61,Statistical Neighbours,2018,N/A,N/A,N/A,53,England,"2016
",N/A,N/A,N/A,61,England,2017,64,England,2018,High is good,Right direction,Equal to or better than statistical neighbours,On-target, 
46,Locally committed,Improving educational outcomes,BETTER,TRUE,Key stage 4: attainment 8,average score,46.2,Coventry,2015 revised,N/A,N/A,N/A,48.1,Coventry,"2016
",N/A,N/A,N/A,42.8,Coventry,2017,43.3,Coventry ,2018,N/A,N/A,N/A,47.9,Statistical Neighbours,"2016
",N/A,N/A,N/A,43.8,Statistical Neighbours,2017,43.7,Statistical Neighbours,2018,N/A,N/A,N/A,49.9,England,"2016
",N/A,N/A,N/A,46.3,England,2017,46.6,England,2018,High is good,Right direction,Equal to or better than statistical neighbours,Off-target, 
47,Locally committed,Improving educational outcomes,BETTER,TRUE,Key stage 4: progress 8,relative difference,0.03,Coventry,2015,N/A,N/A,N/A,-0.05,Coventry,"2016
",N/A,N/A,N/A,-0.12,Coventry,2017,-0.08,Coventry ,2018,N/A,N/A,N/A,-0.11,Statistical Neighbours,"2016
",N/A,N/A,N/A,-0.09,Statistical Neighbours,2017,-0.14,Statistical Neighbours,2018,N/A,N/A,N/A,-0.03,England,"2016
",N/A,N/A,N/A,-0.03,England,2017,-0.02,England,2018,High is good,Right direction,Equal to or better than statistical neighbours,On-target, 
48,Locally committed,Improving educational outcomes,BETTER,TRUE,Key stage 4: standard pass (grades 9-4) in English and maths,%,New Indicator,N/A,N/A,N/A,N/A,N/A,61,Coventry,"2016
",N/A,N/A,N/A,58.3,Coventry,2017,60.2,Coventry ,2018,N/A,N/A,N/A,59,Statistical Neighbours,"2016
",N/A,N/A,N/A,57.8,Statistical Neighbours,2017,59.5,Statistical Neighbours,2018,N/A,N/A,N/A,63,England,"2016
",N/A,N/A,N/A,63.9,England,2017,64.4,England,2018,High is good,Right direction,Equal to or better than statistical neighbours,On-target, 
49,Locally committed,Improving educational outcomes,BETTER,TRUE,Key stage 4: good pass (grades 9-5) in English and maths,%,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.2,Coventry,2017,37.5,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.6,Statistical Neighbours,2017,38.6,Statistical Neighbours,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.9,England,2017,43.5,England,2018,High is good,Right direction,Equal to or better than statistical neighbours,Off-target, 
50,Locally committed,Improving educational outcomes,WORSE,TRUE,Key Stage 5 level 3 average point score A Level entry,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,28.29,Coventry,"2016
",N/A,N/A,N/A,28.95,Coventry,2017,29.81,Coventry ,2018,N/A,N/A,N/A,27.94,Statistical Neighbours,2016,N/A,N/A,N/A,29.06,Statistical Neighbours,2017,30.21,Statistical Neighbours,2018,N/A,N/A,N/A,30.45,England,"2016
",N/A,N/A,N/A,32.14,England,2017,32.12,England,2018,High is good,Wrong direction,Equal to or better than statistical neighbours,Off-target, 
51,Locally committed,Improving educational outcomes,,FALSE,Key Stage 5 level 3 average grade A Level entry,grade,New Indicator,N/A,N/A,N/A,N/A,N/A, C-,Coventry,"2016
",N/A,N/A,N/A, C+,Coventry,2017,C,Coventry ,2018,N/A,N/A,N/A, C-,Statistical Neighbours,2016,N/A,N/A,N/A, C-,Statistical Neighbours,2017,C,Statistical Neighbours,2018,N/A,N/A,N/A, C,England,"2016
",N/A,N/A,N/A, C+,England,2017,C+,England,2018,N/A, , , , 
52,Locally committed,Improving educational outcomes,BETTER,TRUE,Key Stage 5 level 3 average point score per tech level entry,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,28.63,Coventry,"2016
",N/A,N/A,N/A,29.29,Coventry,2017,31.66,Coventry ,2018,N/A,N/A,N/A,30.82,Statistical Neighbours,2016,N/A,N/A,N/A,32.35,Statistical Neighbours,2017,28.6,Statistical Neighbours,2018,N/A,N/A,N/A,30.77,England,"2016
",N/A,N/A,N/A,32.25,England,2017,28.11,England,2018,High is good,Right direction,Equal to or better than statistical neighbours,On-target, 
53,Locally committed,Improving educational outcomes,,FALSE,Key Stage 5 level 3 average grade per tech level entry,grade,New Indicator,N/A,N/A,N/A,N/A,N/A,Merit +,Coventry,"2016
",N/A,N/A,N/A,Merit +,Coventry,2017,Distinction-,Coventry ,2018,N/A,N/A,N/A,Distinction -,Statistical Neighbours,2016,N/A,N/A,N/A,Distinction -,Statistical Neighbours,2017,Merit +,Statistical Neighbours,2018,N/A,N/A,N/A,Distinction -,England,"2016
",N/A,N/A,N/A,Distinction -,England,2017,Merit +,England,2018,N/A, , , , 
54,Locally committed,Improving educational outcomes,WORSE,TRUE,Key Stage 5 level 3 average point score per general applied entry,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,35.08,Coventry,"2016
",N/A,N/A,N/A,34.49,Coventry,2017,25.46,Coventry ,2018,N/A,N/A,N/A,34.41,Statistical Neighbours,2016,N/A,N/A,N/A,36.27,Statistical Neighbours,2017,28.6,Statistical Neighbours,2018,N/A,N/A,N/A,34.67,England,"2016
",N/A,N/A,N/A,35.69,England,2017,28.43,England,2018,High is good,Wrong direction,Equal to or better than statistical neighbours,Off-target, 
55,Locally committed,Improving educational outcomes,,FALSE,Key Stage 5 level 3 average grade per general applied entry,grade,New Indicator,N/A,N/A,N/A,N/A,N/A,Distinction,Coventry,"2016
",N/A,N/A,N/A,Distinction,Coventry,2017,Merit,Coventry ,2018,N/A,N/A,N/A,Distinction ,Statistical Neighbours,2016,N/A,N/A,N/A,Distinction ,Statistical Neighbours,2017,Merit +,Statistical Neighbours,2018,N/A,N/A,N/A,Distinction ,England,"2016
",N/A,N/A,N/A,Distinction ,England,2017,Merit +,England,2018,N/A, , , , 
56,Locally committed,Improve health and wellbeing,EQUALS,TRUE,Overweight or obese among children in Year 6,%,35.6,Coventry,2013/14,35.4,Coventry,2014/15,37.5,Coventry,2015/16,N/A,N/A,N/A,38.2,Coventry,2016/17,37.9,Coventry ,2017/18,35.8,WMR,2014/15,36.6,WMR,2015/16,N/A,N/A,N/A,37.1,WMR,2016/17,37.1,WMR,2017/18,33.2,England,2014/15,34.2,England,2015/16,N/A,N/A,N/A,34.2,England,2016/17,34.3,England,2017/18,Low is good,Similar/unchanged,To decrease,No Target Set, 
57,Locally committed,Improve health and wellbeing,EQUALS,TRUE,HIV late diagnosis,%,51.6,Coventry,2013-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53.7,Coventry,2014-16 revised,55.1,Coventry ,2015-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.1,WMR,2014-16,46.1,WMR,2015-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.1,England,2014-16,41.1,England,2015-17,Low is good,Similar/unchanged,To decrease,No Target Set, 
58,Locally committed,Improve health and wellbeing,EQUALS,TRUE,Smoking status at time of delivery,%,12.3,Coventry,2015/16 ,N/A,N/A,N/A,12.3,Coventry,2015/16,11.0,Coventry,Jan-March 2016/17,10.9,Coventry,2016/17,11.8,Coventry ,2017/18,N/A,N/A,N/A,11.9,WMR,2015/16 revised,N/A,N/A,N/A,11.8,WMR,2016/17,11.9,WMR,2017/18,N/A,N/A,N/A,11.0,England,2015/16 revised,N/A,N/A,N/A,10.7,England,2016/17,10.8,England,2017/18,Low is good,Similar/unchanged,To decrease,No Target Set, 
59,Locally committed,Improve health and wellbeing,CANT SAY,TRUE,Recorded cases of diabetes as recorded on GP practice (%),% of patients aged 17 years and over,6.5,Coventry,2014/15,N/A,N/A,N/A,N/A,N/A,N/A,6.7,Coventry,2015/16,6.7,Coventry,2016/17,6.7,Coventry ,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,7.5,WMR,2015/16,7.5,WMR,2016/17,7.7,WMR,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,6.5,England,2015/16,6.7,England,2016/17,6.8,England,2017/18,N/A,Can't say,N/A,Target not applicable, 
60,Locally committed,Improve health and wellbeing,,FALSE,Recorded cases of diabetes as recorded on GP practice (number),number,19351,Coventry,2014/15,N/A,N/A,N/A,N/A,N/A,N/A,20772,Coventry,2015/16,21296,Coventry,2016/17,21650,Coventry ,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , , , 
61,Locally committed,Improve health and wellbeing,EQUALS,TRUE,Adults achieving 150 minutes of physical activity per week,%,Revised Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.3,Coventry,2015/16 revised,59.3,Coventry,2016/17,60.6,Coventry ,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,63.8,WMR,2015/16 revised,62.6,WMR,2016/17,63.2,WMR,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,66.1,England,2015/16 revised,66.0,England,2016/17,66.3,England,2017/18,High is good,Similar/unchanged,To increase,No Target Set, 
62,Locally committed,Improve health and wellbeing,WORSE,TRUE,"Hospital admissions caused by injuries in children 0-14 (rate per 10,000)","rate per 10,000",149.9,Coventry,2014/15,N/A,N/A,N/A,173.2,Coventry,2015/16,N/A,N/A,N/A,190.200,Coventry,2016/17,203.7,Coventry ,2017/18,N/A,N/A,N/A,110.4,WMR,2015/16,N/A,N/A,N/A,106.7,WMR,2016/17,103.4,WMR,2017/18,N/A,N/A,N/A,104.2,England,2015/16,N/A,N/A,N/A,101.5,England,2016.17,96.4,England,2017/18,Low is good,Wrong direction,To decrease,No Target Set, 
63,Locally committed,Improve health and wellbeing,,FALSE,Hospital admissions caused by injuries in children 0-14 (number),number,944,Coventry,2014/15,N/A,N/A,N/A,1112,Coventry,2015/16,N/A,N/A,N/A,1248,Coventry,2016/17,1358,Coventry ,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good, , , , 
64,Locally committed,Improve health and wellbeing,BETTER,TRUE,"Conceptions to girls aged under 18 (rate per 1,000 girls aged 15-17)","rate per 1,000 girls aged 15-17",33.8,Coventry,2014,N/A,N/A,N/A,29.9,Coventry,2015,28.3,Coventry,Jul 2015-Jun 2016,26.6,Coventry,2016,26.1,Coventry ,2017,N/A,N/A,N/A,27.1,WMCA,2015,N/A,N/A,N/A,23.2,WMCA,2016,22.4,WMCA,2017,N/A,N/A,N/A,20.8,England,2015,N/A,N/A,N/A,18.8,England,2016,17.8,England,2017,Low is good,Right direction,To decrease,No Target Set, 
65,Locally committed,Protecting our most vulnerable people,BETTER,TRUE,Good level of development at age 5,%,63.9,Coventry,2015,N/A,N/A,N/A,65.4,Coventry,2016,N/A,N/A,N/A,66.1,Coventry,2017,67.8,Coventry ,2018,N/A,N/A,N/A,66.4,SN,2016,N/A,N/A,N/A,67.9,SN,2017,68.8,SN,2018,N/A,N/A,N/A,69.3,England,2016,N/A,N/A,N/A,70.7,England,2017,71.5,England,2018,High is good,Right direction,Equal to or better than statistical neighbours,Off-target, 
66,Locally committed,Protecting our most vulnerable people,WORSE,TRUE,Gap (in the good level of development at age 5) between the lowest achieving 20% and the rest,%,36,Coventry,2015,N/A,N/A,N/A,35.1,Coventry,2016,N/A,Coventry,2017 Provisional,37.3,Coventry,2017,37.4,Coventry ,2018,N/A,N/A,N/A,35.6,SN,2016,N/A,N/A,N/A,35.0,SN,2017,35.24,SN,2018,N/A,N/A,N/A,31.4,England,2016,N/A,N/A,N/A,31.7,England,2017,31.8,England,2018,Low is good,Wrong direction,Equal to or better than statistical neighbours,Off-target, 
67,Locally committed,Protecting our most vulnerable people,CANT SAY,TRUE,"Looked after children (rate per 10,000)","rate per 10,000 population under 18",78.3,Coventry,Mar-16,78,Coventry,Sep-16,81.1,Coventry,Mar-17,86.8,Coventry,Sep-17,84,Coventry,March 2018,90.6,Coventry ,March 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76.4,SN,2016/17,86,SN,2017/18,N/A,N/A,N/A,60.3,England,2015/16,N/A,N/A,N/A,60.3,England,2016/17,64,England,2017/18,N/A,Can't say,N/A,Target not applicable, 
68,Locally committed,Protecting our most vulnerable people,,FALSE,Looked after children (number),number,580,Coventry,Mar-16,578,Coventry,Sep-16,620,Coventry,Mar-17,663,Coventry,Sep-17,652,Coventry,March 2018,703,Coventry ,March 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,598,SN,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , , , , 
69,Locally committed,Protecting our most vulnerable people,WORSE,TRUE,Repeat referrals to children's social care,%,28.7,Coventry,2015/16,27.4,Coventry,Apr-Sep 2016/17,24,Coventry,Mar-17,18.1,Coventry,Apr-Sep 2017/18,21.1,Coventry,Mar-18,25.9,Coventry ,March 2019,N/A,N/A,N/A,N/A,N/A,N/A,22.0,SN,2016/17,N/A,N/A,N/A,22.0,SN,2017/18,N/A,N/A,N/A,22.3,England,2015/16,21.9,England,2016/17,N/A,N/A,N/A,22.0,England,2017/18,Low is good,Wrong direction,<19%,Off-target, 
70,Locally committed,Protecting our most vulnerable people,EQUALS,TRUE,% of new looked after children who were previously looked after (rolling 12 months),%,N/A,N/A,N/A,N/A,N/A,N/A,6.2,Coventry,March 2017,N/A,N/A,N/A,8.1,Coventry,March 2018,8.1,Coventry ,March 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Similar/unchanged,<8%,Off-target, 
71,Locally committed,Protecting our most vulnerable people,WORSE,TRUE,Common assessment framework assessments closed with all actions complete,%,68.8,Coventry,2015/16,68.7,Coventry,Apr-Sep 2016/17,75.4,Coventry,2016/17 ,69.4,Coventry,Apr-Sep 2017/18,71.9,Coventry,March 2018,69,Coventry ,March 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Wrong direction,>70,Off-target, 
72,Locally committed,Protecting our most vulnerable people,CANT SAY,TRUE,Households accepted as statutory homeless (in priority need),number,560,Coventry,2015/16 revised,311,Coventry,Apr-Sep 2016/17,638,Coventry,2016/17 revised,268,Coventry,Apr-Sep 2017/18,557,Coventry,2017/18,388,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable, 
73,Locally committed,Protecting our most vulnerable people,CANT SAY,TRUE,Homelessness cases prevented and relieved,number,1411,Coventry,2015/16 revised,500,Coventry,Apr-Sep 2016/17,922,Coventry,2016/17 revised,281,Coventry,Apr-Sep 2017/18,659,Coventry,2017/18,413,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable, 
74,Locally committed,Protecting our most vulnerable people,BETTER,TRUE,Adults using social care who receive self-directed support,%,80,Coventry,Mar-16,88,Coventry,Sep-16,88,Coventry,Mar-17,88,Coventry,Sep-17,88,Coventry,March 2018,88,Coventry ,March 2019,N/A,N/A,N/A,91.4,CIPFA,2015/16,91,CIPFA,2016/17,N/A,N/A,N/A,91,CIPFA,2017/18,N/A,N/A,N/A,88.2,England,Mar-16,89,England,2016/17,N/A,N/A,N/A,90,England,2017/18/,High is good,Right direction,>=88%,On-target, 
75,Locally committed,Protecting our most vulnerable people,EQUALS,TRUE,Adults using social care who receive direct payments,%,21,Coventry,Mar-16,24,Coventry,Sep-16,24,Coventry,Mar-17,21,Coventry,Sep-17,23,Coventry,March 2018,23,Coventry ,March 2019,29,N/A,N/A,29,CIPFA,2015/16,29,CIPFA,2016/17,N/A,N/A,N/A,31,CIPFA,2017/18,N/A,N/A,N/A,28,England,2015/16,28,England,2016/17,N/A,N/A,N/A,29,England,2017/18/,High is good,Similar/unchanged,>23%,Off-target, 
76,Locally committed,Protecting our most vulnerable people,CANT SAY,TRUE,"Adult safeguarding S42 enquiries (rate per 100,000 population)","rate per 100,000 population",357,Coventry,2015/16,332,Coventry,Apr-Sep 2016/17,390,Coventry,2016/17 revised,102,Coventry,Apr-Sep 2017/18,259,Coventry,2017/18,222,Coventry ,2018/19 ,N/A,N/A,N/A,290,WMR,2015/16,184,WMR,2016/17,N/A,N/A,N/A,183,WMR,2017/18,N/A,N/A,N/A,239,England,2015/16,250,England,2016/17,N/A,N/A,N/A,245,England,2017/18,N/A,Can't say,N/A,Target not applicable, 
77,Locally committed,Protecting our most vulnerable people,,FALSE,Adult safeguarding S42 enquiries (number),number,966,Coventry,2015/16,499,Coventry,Apr-Sep 2016/17,920,Coventry,2016/17 revised,281,Coventry,Apr-Sep 2017/18,717,Coventry,2017/18,628,Coventry ,2018/19 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , , , 
78,Locally committed,Protecting our most vulnerable people,BETTER,TRUE,Regulated adult social care services rated as inadequate,%,3,Coventry,31-Mar-16,0,Coventry,30-Sep-16,1,Coventry,31-Mar-17,1,Coventry,Sep-17,4,Coventry,31-Mar-18,0,Coventry ,31 March 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Right direction,<4%,On-target, 
79,Locally committed,Protecting our most vulnerable people,,TRUE,Adult social care service users receiving long term on-going support (rate),"rate per 100,000 population",1343,Coventry,31-Mar-16,1266,Coventry,30-Sep-16,1269,Coventry,31-Mar-17,1240,Coventry,Sep-17,1168,Coventry,31-Mar-18,1188,Coventry ,31 March 2019,N/A,N/A,N/A,N/A,N/A,N/A,1439,WMR,2016/17,N/A,N/A,N/A,1389,WMR,2017/18,N/A,N/A,N/A,1716,England,2015/16,1506,England,2016/17,N/A,N/A,N/A,1467,England,2017/18,N/A, , ,On-target, 
80,Locally committed,Protecting our most vulnerable people,BETTER,FALSE,Adult social care service users receiving long term on-going support (number),number,3631,Coventry,31 March 2016 revised,3421,Coventry,30-Sep-16,3430,Coventry,31-Mar-17,3428,Coventry,Sep-17,3230,Coventry,31-Mar-18,3287,Coventry ,31 March 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Right direction,"3,100 to 3,500 users ",On-target, 
81,Locally committed,Protecting our most vulnerable people,BETTER,TRUE,Proportion of adult social care service users who feel safe,%,70,Coventry,2015/16,N/A,N/A,N/A,75,Coventry,2016/17 ,N/A,N/A,N/A,72,Coventry,2017/18,70,Coventry ,2018/19,68.7,CIPFA,2015/16 revised,69,CIPFA,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,68,CIPFA,2017/18,68.8,England,2015/16 revised,70,England,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,70,England,2017/18,High is good,Right direction,>=70,On-target, 
82,Locally committed,Protecting our most vulnerable people,BETTER,TRUE,Adults who contacted social care not previously receiving social care support (rate),"rate per 100,000 population",3440,Coventry,2015/16 revised,2484,Coventry,Apr-Sep 2016/17 excluding mental health data,3585,Coventry,2016/17 revised,1128,Coventry,Sept 2017 excluding mental health data,3722,Coventry,2017/18,3750,Coventry ,2018/19,N/A,N/A,N/A,5215,CIPFA,2015/16,4525,CIPFA,2016/17,N/A,N/A,N/A,4870,CIPFA,2017/18,N/A,N/A,N/A,4200,England,2015/16,4175,England,2016/17 revised,N/A,N/A,N/A,4215,England,2017/18,N/A,Right direction, ,On-target, 
83,Locally committed,Protecting our most vulnerable people,BETTER,FALSE,Adults who contacted social care not previously receiving social care support (number),number,9296,Coventry,2015/16,3358 excluding mental health,Coventry,Apr-Sep 2016/17,9691,Coventry,2016/17 revised,3119,Coventry,Sept 2017 excluding mental health data,10290,Coventry,2017/18,10367,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Right direction,4215- 11905 people,On-target, 
84,Locally committed,Protecting our most vulnerable people,EQUALS,TRUE,Breastfeeding rates at 6-8 weeks,%,NA,Coventry,2015/16 failed validation test,N/A,N/A,N/A,43.7,Coventry,2012/13,N/A,N/A,N/A,48.7,Coventry,2016/17,48.3,Coventry ,2017/18,N/A,N/A,N/A,N/A,WMR,2016/17 failed validation test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.2,England,2012/13,43.8,England,2014/15,43.2,England,2015/16,44.4,England,2016/17,42.7,England,2017/18,High is good,Similar/unchanged,To increase,No Target Set, 
85,Locally committed,Reducing health inequalities,EQUALS,TRUE,Male healthy life expectancy at birth,years,61.3,Coventry,2012-14 revised,N/A,N/A,N/A,62.9,Coventry,2013-15,N/A,N/A,N/A,62.2,Coventry,2014-16,62.9,Coventry ,2015-17,62.4,WMR,2012-14,62.4,WMR,2013-15,N/A,N/A,N/A,62.6,WMR,2014-16,62.1,WMR,2015-17,63.4,England,2012-14,63.4,England,2013-15,N/A,N/A,N/A,63.3,England,2014-16,63.4,England,2015-17,High is good,Similar/unchanged,To increase,No Target Set, 
86,Locally committed,Reducing health inequalities,EQUALS,TRUE,Female healthy life expectancy at birth,years,63.4,Coventry,2012-14 revised,N/A,N/A,N/A,63.8,Coventry,2013-15,N/A,N/A,N/A,62.9,Coventry,2014-16,63.5,Coventry ,2015-17,62.5,WMR,2012-14,63.2,WMR,2013-15,N/A,N/A,N/A,63.2,WMR,2014-16,62.9,WMR,2015-17,64,England,2012-14,64.1,England,2013-15,N/A,N/A,N/A,63.9,England,2014-16,63.8,England,2015-17,High is good,Similar/unchanged,To increase,No Target Set, 
87,Delivering our priorities with fewer resources,Making the most of our assets,BETTER,TRUE,Carbon dioxide emissions (from local authority operations),tonnes,16368,Coventry,2015/16 actual,N/A,N/A,N/A,N/A,N/A,N/A,14369,Coventry,2016/17 Revised Final,14833,Coventry,2017/18 Final,10690,Coventry ,2018/19 estimate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Right direction,reduction of 35% by 2020,On-target, 
88,Delivering our priorities with fewer resources,Making the most of our assets,WORSE,TRUE,"Core employee headcount (full-time equivalents, fte)",full-time equivalents,4242.05,Coventry,Mar-16,4163.65,Coventry,Sep-16,4108.31,Coventry,Mar-17,3814.93,Coventry,Sep-17,3693.71,Coventry,Mar-18,3829.94,Coventry ,March 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Wrong direction,To reduce,No Target Set, 
89,Delivering our priorities with fewer resources,Making the most of our assets,BETTER,TRUE,Sickness absence (rolling year),days per full-time equivalent,10.56,Coventry,2015/16,N/A,N/A,N/A,10.22,Coventry,2016/17,N/A,N/A,N/A,11.75,Coventry,2017/18,10.94,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Right direction,8,Off-target, 
90,Delivering our priorities with fewer resources,Making the most of our assets,BETTER,TRUE,Transactions done online,%,20,Coventry,2015/16,28,Coventry,Apr-Sep 2016/17,28,Coventry,2016/17,33,Coventry,Sep-17,33,Coventry,2017/18,36,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,35,On-target, 
91,Delivering our priorities with fewer resources,Making the most of our assets,BETTER,TRUE,Reduction in face to face and telephone contact,% reduction,24,Coventry,2015/16,25,Coventry,Apr-Sep 2016/17,30,Coventry,2016/17,N/A,N/A,N/A,32,Coventry,2017/18,39,Coventry ,2018.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,32,On-target, 
