Sort Order,Council Plan,Priority,Progress,Council Plan Indicator,Indicator,Unit,2015/16 end of year indicator value,2015/16 end of year indicator scope,2015/16 end of year indicator date,2016/17 half year indicator value,2016/17 half year indicator scope,2016/17 half year indicator date,2016/17 end of year indicator value,2016/17 end of year indicator scope,2016/17 end of year indicator date,2017/18 half year indicator value,2017/18 half year indicator scope,2017/18 half year indicator date,2017/18 end of year indicator value,2017/18 end of year indicator scope,2017/18 end of year indicator date,2016/17 half year indicator comparator indicator value,2016/17 half year indicator comparator indicator scope,2016/17 half year indicator comparator indicator date,2016/17 end of year indicator comparator indicator value,2016/17 end of year indicator comparator indicator scope,2016/17 end of year indicator comparator indicator date,2017/18 half year indicator comparator indicator value,2017/18 half year indicator comparator indicator scope,2017/18 half year indicator comparator indicator date,2017/18 end of year indicator comparator indicator value,2017/18 end of year indicator comparator indicator scope,2017/18 end of year indicator comparator indicator date,2016/17 half year indicator national indicator value,2016/17 half year indicator national indicator scope,2016/17 half year indicator national indicator date,2016/17 end of year indicator national indicator value,2016/17 end of year indicator national indicator scope,2016/17 end of year indicator national indicator date,2017/18 half year indicator national indicator value,2017/18 half year indicator national indicator scope,2017/18 half year indicator national indicator date,2017/18 end of year indicator national indicator value,2017/18 end of year indicator national indicator scope,2017/18 end of year indicator national indicator date,Directionality,Progress,Target,Target Status,LGInformPlus Metric ID,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Locally committed,Improve health and wellbeing,EQUALS,TRUE,Overweight or obese among children in Reception (age 4-5),%,22.4,Coventry,2014/15,N/A,N/A,N/A,22.4,Coventry,2015/16,N/A,N/A,N/A,22.9,Coventry,2016/17,23.1,WMR,2014/15,23.3,WMR,2015/16,N/A,N/A,N/A,24.2,WMR,2016/17,21.9,England,2014/15,22.1,England,2015/16,N/A,N/A,N/A,22.6,England,2016/17,Low is good,Similar/unchanged,N/A,No Target Set,889,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Locally committed,Improve health and wellbeing,WORSE,TRUE,HIV late diagnosis,%,51.6,Coventry,2013-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52.8,Coventry,2014-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.1,WMR,2014-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.1,England,2014-16,N/A,Wrong direction,N/A,No Target Set,8185,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Locally committed,Improve health and wellbeing,BETTER,TRUE,Smoking status at time of delivery,%,12.3,Coventry,2015/16 ,N/A,N/A,N/A,12.3,Coventry,2015/16,11.0,Coventry,Jan-March 2016/17,10.9,Coventry,2016/17,N/A,N/A,N/A,11.9,WMR,2015/16 revised,N/A,N/A,N/A,11.8,WMR,2016/17,N/A,N/A,N/A,11.0,England,2015/16 revised,N/A,N/A,N/A,10.7,England,2016/17,Low is good,Right direction,N/A,No Target Set,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Locally committed,Improve health and wellbeing,CANT SAY,TRUE,Recorded cases of diabetes as recorded on GP practice (%),% of patients aged 17 years and over,6.5,Coventry,2014/15,N/A,N/A,N/A,N/A,N/A,N/A,6.7,Coventry,2015/16,6.7,Coventry,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,7.5,WMR,2015/16,7.5,WMR,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,6.5,England,2015/16,6.7,England,2016/17,N/A,Can't say,N/A,Target not applicable,3699,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improve health and wellbeing,,FALSE,Recorded cases of diabetes as recorded on GP practice (number),number,19351,Coventry,2014/15,N/A,N/A,N/A,N/A,N/A,N/A,20772,Coventry,2015/16,21296,Coventry,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Locally committed,Improve health and wellbeing,EQUALS,TRUE,Adults achieving 150 minutes of physical activity per week,%,Revised Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.3,Coventry,2015/16 revised,59.3,Coventry,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,63.8,WMR,2015/16 revised,62.6,WMR,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,66.1,England,2015/16 revised,66.0,England,2016/17,High is good,Similar/unchanged,N/A,No Target Set,10392,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Locally committed,Improve health and wellbeing,WORSE,TRUE,"Hospital admissions caused by injuries in children 0-14 (rate per 10,000)","rate per 10,000",149.9,Coventry,2014/15,N/A,N/A,N/A,173.2,Coventry,2015/16,N/A,N/A,N/A,190.5,Coventry,2016/17,N/A,N/A,N/A,110.4,WMR,2015/16,N/A,N/A,N/A,106.7,WMR,2016/17,N/A,N/A,N/A,104.2,England,2015/16,N/A,N/A,N/A,101.5,England,2016.17,Low is good,Wrong direction,N/A,No Target Set,3442,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improve health and wellbeing,,FALSE,Hospital admissions caused by injuries in children 0-14 (number),number,944,Coventry,2014/15,N/A,N/A,N/A,1112,Coventry,2015/16,N/A,N/A,N/A,1248,Coventry,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Locally committed,Improve health and wellbeing,BETTER,TRUE,"Conceptions to girls aged under 18 (rate per 1,000 girls aged 15-17)","rate per 1,000 girls aged 15-17",33.8,Coventry,2014,N/A,N/A,N/A,29.9,Coventry,2015,28.3,Coventry,Jul 2015-Jun 2016,26.6,Coventry,2016,N/A,N/A,N/A,23.7,WMR,2015,N/A,N/A,N/A,23.7,WMCA,2016,N/A,N/A,N/A,20.8,England,2015,N/A,N/A,N/A,18.8,England,2016,Low is good,Right direction,N/A,No Target Set,688,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Locally committed,Protecting our most vulnerable people,BETTER,TRUE,Good level of development at age 5,%,63.9,Coventry,2015,N/A,N/A,N/A,65.4,Coventry,2016,N/A,N/A,N/A,66.1,Coventry,2017,N/A,N/A,N/A,66.4,SN,2016,N/A,N/A,N/A,67.9,SN,2017,N/A,N/A,N/A,69.3,England,2016,N/A,N/A,N/A,70.7,England,2017,High is good,Right direction,Equal to or better than statistical neighbours,Off-target,3649,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Locally committed,Protecting our most vulnerable people,WORSE,TRUE,Gap (in the good level of development at age 5) between the lowest achieving 20% and the rest,%,36,Coventry,2015,N/A,N/A,N/A,35.1,Coventry,2016,N/A,Coventry,2017 Provisional,37.3,Coventry,2017,N/A,N/A,N/A,35.6,SN,2016,N/A,N/A,N/A,35.0,SN,2017,N/A,N/A,N/A,31.4,England,2016,N/A,N/A,N/A,31.7,England,2017,Low is good,Wrong direction,Equal to or better than statistical neighbours,Off-target,related to 3679,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Locally committed,Protecting our most vulnerable people,CANT SAY,TRUE,"Looked after children (rate per 10,000)","rate per 10,000 population under 18",78.3,Coventry,Mar-16,78,Coventry,Sep-16,81.1,Coventry,Mar-17,86.8,Coventry,Sep-17,85.3,Coventry,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76.4,SN,2016/17,N/A,N/A,N/A,60.3,England,2015/16,N/A,N/A,N/A,60.3,England,2016/17,N/A,Can't say,N/A,Target not applicable,891,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Protecting our most vulnerable people,,FALSE,Looked after children (number),number,580,Coventry,Mar-16,578,Coventry,Sep-16,620,Coventry,Mar-17,663,Coventry,Sep-17,652,Coventry,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,6012,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Locally committed,Protecting our most vulnerable people,BETTER,TRUE,Repeat referrals to children's social care,%,28.7,Coventry,2015/16,27.4,Coventry,Apr-Sep 2016/17,24,Coventry,Mar-17,18.1,Coventry,Apr-Sep 2017/18,19.3,Coventry,March 2018 provisional,N/A,N/A,N/A,N/A,N/A,N/A,22.0,SN,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,22.3,England,2015/16,21.9,England,2016/17,N/A,N/A,N/A,Low is good,Right direction,<=19%,Off-target,2229,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Locally committed,Protecting our most vulnerable people,WORSE,TRUE,% of children with three or more placements in the previous 12 months,%,14.1,Coventry,2015/16,11.9,Coventry,Apr-Sep 2016/17,12.1,Coventry,2016/17 ,8,Coventry,Apr-Sep 2017/18,12.5,Coventry,March 2018 provisional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,England,2015/16,N/A,N/A,N/A,10.0,England,2016/17,Low is good,Wrong direction,<=10,Off-target,850,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Locally committed,Protecting our most vulnerable people,BETTER,TRUE,Common assessment framework assessments closed with all actions complete,%,68.8,Coventry,2015/16,68.7,Coventry,Apr-Sep 2016/17,75.4,Coventry,2016/17 ,69.4,Coventry,Apr-Sep 2017/18,72.1,Coventry,March 2018 provisional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,>70,On-target,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Locally committed,Protecting our most vulnerable people,CANT SAY,TRUE,Households accepted as statutory homeless (in priority need),number,560,Coventry,2015/16 revised,311,Coventry,Apr-Sep 2016/17,638,Coventry,2016/17 revised,268,Coventry,Apr-Sep 2017/18,557,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable,"based on 8159, 8147",,,,,,,,,,,,,,,,,,,,,,,,,,
51,Locally committed,Protecting our most vulnerable people,CANT SAY,TRUE,Homelessness cases prevented and relieved,number,1411,Coventry,2015/16 revised,500,Coventry,Apr-Sep 2016/17,922,Coventry,2016/17 revised,281,Coventry,Apr-Sep 2017/18,659,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable,1050,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Locally committed,Protecting our most vulnerable people,EQUALS,TRUE,Adults using social care who receive self-directed support,%,80,Coventry,Mar-16,88,Coventry,Sep-16,88,Coventry,Mar-17,88,Coventry,Sep-17,88,Coventry,Mar-18,N/A,N/A,N/A,91.4,CIPFA,2015/16,91,CIPFA,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,88.2,England,Mar-16,89,England,2016/17,N/A,N/A,N/A,High is good,Similar/unchanged,>90%,Off-target,4275,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Locally committed,Protecting our most vulnerable people,WORSE,TRUE,Adults using social care who receive direct payments,%,21,Coventry,Mar-16,24,Coventry,Sep-16,24,Coventry,Mar-17,21,Coventry,Sep-17,23,Coventry,Mar-18,29,N/A,N/A,29,CIPFA,2015/16,29,CIPFA,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,28,England,2015/16,28,England,2016/17,N/A,N/A,N/A,High is good,Wrong direction,>24%,Off-target,4277,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Locally committed,Protecting our most vulnerable people,CANT SAY,TRUE,"Adult safeguarding S42 enquiries (rate per 100,000 population)","rate per 100,000 population",357,Coventry,2015/16,332,Coventry,Apr-Sep 2016/17,390,Coventry,2016/17 revised,102,Coventry,Apr-Sep 2017/18,625,Coventry,2017/18,N/A,N/A,N/A,290,WMR,2015/16,184,WMR,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,239,England,2015/16,250,England,2016/17,N/A,N/A,N/A,N/A,Can't say,N/A,Target not applicable,901,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Protecting our most vulnerable people,,FALSE,Adult safeguarding S42 enquiries (number),number,966,Coventry,2015/16,499,Coventry,Apr-Sep 2016/17,920,Coventry,2016/17 revised,281,Coventry,Apr-Sep 2017/18,625,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Locally committed,Protecting our most vulnerable people,WORSE,TRUE,Regulated adult social care services rated as inadequate,%,3,Coventry,31-Mar-16,0,Coventry,30-Sep-16,1,Coventry,31-Mar-17,1,Coventry,Sep-17,4,Coventry,31-Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Wrong direction,<=3%,Off-target,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Locally committed,Protecting our most vulnerable people,BETTER,TRUE,Adult social care service users receiving long term on-going support (rate),"rate per 100,000 population",1343,Coventry,31-Mar-16,1266,Coventry,30-Sep-16,1269,Coventry,31-Mar-17,1240,Coventry,Sep-17,1168,Coventry,31-Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,1439,WMR,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,1716,England,2015/16,1506,England,2016/17,N/A,N/A,N/A,N/A,Right direction,"3,200 to 3,800 users (approx. 1,000 to 1,200 per 100,000 population)",On-target,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Protecting our most vulnerable people,,FALSE,Adult social care service users receiving long term on-going support (number),number,3631,Coventry,31 March 2016 revised,3421,Coventry,30-Sep-16,3430,Coventry,31-Mar-17,3428,Coventry,Sep-17,3230,Coventry,31-Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Locally committed,Protecting our most vulnerable people,BETTER,TRUE,Proportion of adult social care service users who feel safe,%,70,Coventry,2015/16,N/A,N/A,N/A,75,Coventry,2016/17 ,N/A,N/A,N/A,72,Coventry,2017/18,68.7,CIPFA,2015/16 revised,69,CIPFA,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,68.8,England,2015/16 revised,70,England,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,70+,On-target,10689,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Locally committed,Protecting our most vulnerable people,BETTER,TRUE,Adults who contacted social care not previously receiving social care support (rate),"rate per 100,000 population",3440,Coventry,2015/16 revised,2484,Coventry,Apr-Sep 2016/17 excluding mental health data,3585,Coventry,2016/17 revised,1128,Coventry,Sept 2017 excluding mental health data,3722,Coventry,2017/18,N/A,N/A,N/A,5215,CIPFA,2015/16,4525,CIPFA,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,4200,England,2015/16,4175,England,2016/17 revised,N/A,N/A,N/A,N/A,Right direction,"9,000 to 10,500 people (approx. 2,800 to 3,300 per 100,000 population)",On-target,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Protecting our most vulnerable people,,FALSE,Adults who contacted social care not previously receiving social care support (number),number,9296,Coventry,2015/16,3358 excluding mental health,Coventry,Apr-Sep 2016/17,9691,Coventry,2016/17 revised,3119,Coventry,Sept 2017 excluding mental health data,10290,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Locally committed,Protecting our most vulnerable people,BETTER,TRUE,Breastfeeding rates at 6-8 weeks,%,NA,Coventry,2015/16 failed validation test,N/A,N/A,N/A,43.7,Coventry,2012/13,N/A,N/A,N/A,48.7,Coventry,2016/17,N/A,N/A,N/A,N/A,WMR,2016/17 failed validation test,N/A,N/A,N/A,N/A,N/A,N/A,47.2,England,2012/13,43.8,England,2014/15,43.2,England,2015/16,44.4,England,2016/17,High is good,Right direction,N/A,No Target Set,890,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Locally committed,Reducing health inequalities,EQUALS,TRUE,Male healthy life expectancy at birth,years,61.3,Coventry,2012-14 revised,N/A,N/A,N/A,62.9,Coventry,2013-15,N/A,N/A,N/A,62.2,Coventry,2014-16,62.4,WMR,2012-14,62.4,WMR,2013-15,N/A,N/A,N/A,62.6,WMR,2014-16,63.4,England,2012-14,63.4,England,2013-15,N/A,N/A,N/A,63.3,England,2014-16,High is good,Similar/unchanged,N/A,No Target Set,3155,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Locally committed,Reducing health inequalities,EQUALS,TRUE,Female healthy life expectancy at birth,years,63.4,Coventry,2012-14 revised,N/A,N/A,N/A,63.8,Coventry,2013-15,N/A,N/A,N/A,62.9,Coventry,2014-16,62.5,WMR,2012-14,63.2,WMR,2013-15,N/A,N/A,N/A,63.2,WMR,2014-16,64,England,2012-14,64.1,England,2013-15,N/A,N/A,N/A,63.9,England,2014-16,High is good,Similar/unchanged,N/A,No Target Set,3156,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Delivering our priorities with fewer resources,Making the most of our assets,BETTER,TRUE,Carbon dioxide emissions (from local authority operations),tonnes,16368,Coventry,2015/16 actual,N/A,N/A,N/A,N/A,N/A,N/A,14369,Coventry,2016/17 Revised Final,14833,Coventry,2017/18 Final,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Right direction,reduction of 35% by 2020,On-target,related to 8242,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Delivering our priorities with fewer resources,Making the most of our assets,BETTER,TRUE,"Core employee headcount (full-time equivalents, fte)",full-time equivalents,4242.05,Coventry,Mar-16,4163.65,Coventry,Sep-16,4108.31,Coventry,Mar-17,3814.93,Coventry,Sep-17,3693.71,Coventry,Mar-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Right direction,N/A,No Target Set,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Delivering our priorities with fewer resources,Making the most of our assets,WORSE,TRUE,Sickness absence,days per full-time equivalent,8.51,Coventry,2015/16,3.74,Coventry,Apr-Sep 2016/17,8.64,Coventry,2016/17,4.05,Coventry,Apr-Sep 2017/18,9.41,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low is good,Wrong direction,8,Off-target,689,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Delivering our priorities with fewer resources,Making the most of our assets,CANT SAY,TRUE,External funding attracted,millions of pounds,46.8,Coventry,2015/16,17.8,Coventry,Apr-Sep 2016/17,54.4,Coventry,2016/17,23,Coventry,Sep-17,187,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Can't say,N/A,Target not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Delivering our priorities with fewer resources,Making the most of our assets,BETTER,TRUE,Transactions done online,%,20,Coventry,2015/16,28,Coventry,Apr-Sep 2016/17,28,Coventry,2016/17,33,Coventry,Sep-17,33,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,35,Off-target,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Delivering our priorities with fewer resources,Making the most of our assets,BETTER,TRUE,Reduction in face to face and telephone contact,% reduction,24,Coventry,2015/16,25,Coventry,Apr-Sep 2016/17,30,Coventry,2016/17,N/A,N/A,N/A,32,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,Right direction,32,On-target,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of disability,number,27,Coventry,2015/16,9,Coventry,Apr-Sep 2016/17,13,Coventry,2016/17,<5,Coventry,Sep-17,<5,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of race/ethnicity,number,428,Coventry,2015/16,271,Coventry,Apr-Sep 2016/17,426,Coventry,2016/17,200,Coventry,Sep-17,415,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of sex/gender/gender identity,number,<5,Coventry,2015/16,<5,Coventry,Apr-Sep 2016/17,<5,Coventry,2016/17,<5,Coventry,Sep-17,<5,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of sexual orientation,number,45,Coventry,2015/16,20,Coventry,Apr-Sep 2016/17,34,Coventry,2016/17,19,Coventry,Sep-17,39,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of religion/belief,number,23,Coventry,2015/16,9,Coventry,Apr-Sep 2016/17,8,Coventry,2016/17,9,Coventry,Sep-17,27,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of gypsy/traveller,number,<5,Coventry,2015/16,0,Coventry,Apr-Sep 2016/17,0,Coventry,2016/17,0,Coventry,Sep-17,0,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic not stated,number,<5,Coventry,2015/16,0,Coventry,Apr-Sep 2016/18,5,Coventry,2016/18,<5,Coventry,Sep-17,<5,Coventry,2017/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Black African",%,New Indicator,N/A,N/A,N/A,N/A,N/A,48,Coventry,2016,N/A,N/A,N/A,56,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53,Black African England,2016,N/A,N/A,N/A,61,Black African England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Black Caribbean",%,New Indicator,N/A,N/A,N/A,N/A,N/A,29,Coventry,2016,N/A,N/A,N/A,31,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,Black Caribbean England,2016,N/A,N/A,N/A,53,Black Caribbean England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Black Other",%,New Indicator,N/A,N/A,N/A,N/A,N/A,58,Coventry,2016,N/A,N/A,N/A,49,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,Black Other England,2016,N/A,N/A,N/A,57,Black Other England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Asian Indian",%,New Indicator,N/A,N/A,N/A,N/A,N/A,57,Coventry,2016,N/A,N/A,N/A,72,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61,Asian Indian England,2016,N/A,N/A,N/A,72,Asian Indian England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Asian Pakistani",%,New Indicator,N/A,N/A,N/A,N/A,N/A,49,Coventry,2016,N/A,N/A,N/A,51,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,Asian Pakistani England,2016,N/A,N/A,N/A,56,Asian Pakistani England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
